alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,50,50,50,53,53,53,3,70,645238
Array3C32,1,1,128,49,49,49,53,53,53,1,69,645238
Array3C32,1,2,128,48,48,48,53,53,53,1,68,645238
Array3C32,1,3,128,48,48,48,53,53,53,1,68,645238
Array3C32,2,0,128,50,50,50,73,73,73,1,86,645238
Array3C32,2,1,128,48,49,50,73,73,74,1,86,645238
Array3C32,2,2,128,48,48,48,74,74,74,1,85,645238
Array3C32,2,3,128,48,49,51,73,73,74,1,86,645238
Array3C32,3,0,128,49,49,50,82,82,82,1,96,645238
Array3C32,3,1,128,48,48,49,83,83,83,1,95,645238
Array3C32,3,2,128,48,49,51,82,82,83,1,95,645238
Array3C32,3,3,128,48,48,50,80,90,111,1,99,645238
Array3C32,4,0,128,49,49,50,87,87,88,1,103,645238
Array3C32,4,1,128,48,49,51,87,87,88,1,103,645238
Array3C32,4,2,128,48,48,48,87,87,88,1,100,645238
Array3C32,4,3,128,48,48,48,87,87,87,1,100,645238
Array3C32,5,0,128,49,49,52,91,91,92,1,111,645238
Array3C32,5,1,128,48,48,49,90,90,91,1,106,645238
Array3C32,5,2,128,48,48,51,90,91,92,1,106,645238
Array3C32,5,3,128,48,48,51,90,90,91,1,106,645238
Array3C32,6,0,128,49,49,50,94,94,95,1,115,645238
Array3C32,6,1,128,48,49,50,94,94,95,1,114,645238
Array3C32,6,2,128,48,48,48,95,95,96,1,112,645238
Array3C32,6,3,128,48,48,48,94,94,95,1,111,645238
Array3C32,7,0,128,49,49,50,97,98,99,1,125,645238
Array3C32,7,1,128,49,49,51,96,101,127,1,126,645238
Array3C32,7,2,128,49,49,49,98,99,100,1,123,645238
Array3C32,7,3,128,49,49,49,98,99,100,1,124,645238
Array3C32,8,0,128,49,49,50,101,102,103,1,136,645238
Array3C32,8,1,128,49,49,49,101,102,103,1,134,645238
Array3C32,8,2,128,49,49,50,100,101,103,1,132,645238
Array3C32,8,3,128,49,49,49,101,102,103,1,133,645238
Array3C32,9,0,128,49,49,52,103,104,106,1,148,645238
Array3C32,9,1,128,49,49,50,104,105,106,1,149,645238
Array3C32,9,2,128,49,49,52,104,105,106,1,148,645238
Array3C32,9,3,128,49,49,50,104,105,106,1,150,645238
Array3C32,10,0,128,49,50,53,107,108,110,1,163,645238
Array3C32,10,1,128,49,49,50,107,108,110,1,160,645238
Array3C32,10,2,128,49,49,52,107,108,110,1,162,645238
Array3C32,10,3,128,49,49,50,107,108,109,1,160,645238
Array3C32,11,0,128,49,49,52,110,111,113,1,174,645238
Array3C32,11,1,128,49,49,50,110,111,113,1,173,645238
Array3C32,11,2,128,49,50,52,110,111,113,1,174,645238
Array3C32,11,3,128,49,49,50,110,111,113,1,172,645238
Array3C32,12,0,128,49,50,52,112,113,115,1,185,645238
Array3C32,12,1,128,49,49,50,113,114,115,1,184,645238
Array3C32,12,2,128,49,50,52,115,119,146,1,188,645238
Array3C32,12,3,128,49,49,50,116,117,118,1,185,645238
Array3C32,13,0,128,49,49,52,115,116,118,1,195,645238
Array3C32,13,1,128,49,49,50,119,120,123,1,197,645238
Array3C32,13,2,128,49,49,50,115,116,118,1,195,645238
Array3C32,13,3,128,49,49,50,116,116,118,1,195,645238
Array3C32,14,0,128,49,50,52,117,120,149,1,209,645238
Array3C32,14,1,128,49,50,52,117,120,146,1,207,645238
Array3C32,14,2,128,49,49,50,121,122,126,1,208,645238
Array3C32,14,3,128,49,50,52,116,120,146,1,207,645238
Array3C32,15,0,128,49,49,50,123,125,128,1,219,645238
Array3C32,15,1,128,49,50,51,119,122,149,1,218,645238
Array3C32,15,2,128,49,49,50,123,125,129,1,219,645238
Array3C32,15,3,128,49,49,51,119,122,149,1,218,645238
Array3C32,16,0,128,49,49,50,125,127,131,1,229,645238
Array3C32,16,1,128,50,50,52,121,125,150,1,229,645238
Array3C32,16,2,128,49,49,50,126,128,131,1,230,645238
Array3C32,16,3,128,49,50,52,122,125,150,1,229,645238
Array3C32,17,0,128,49,49,50,127,130,134,1,240,645238
Array3C32,17,1,128,49,50,52,126,131,159,1,242,645238
Array3C32,17,2,128,49,50,52,134,139,142,1,247,645238
Array3C32,17,3,128,49,50,52,126,131,157,1,242,645238
Array3C32,18,0,128,49,50,52,136,140,144,1,257,645238
Array3C32,18,1,128,49,50,52,128,133,160,1,252,645238
Array3C32,18,2,128,49,50,52,136,139,142,1,258,645238
Array3C32,18,3,128,50,50,52,129,133,160,1,252,645238
Array3C32,19,0,128,49,50,53,137,140,143,1,266,645238
Array3C32,19,1,128,50,50,52,130,134,142,1,262,645238
Array3C32,19,2,128,50,50,52,138,139,141,1,265,645238
Array3C32,19,3,128,50,50,52,130,134,142,1,262,645238
Array3C32,20,0,128,49,50,52,141,143,144,1,276,645238
Array3C32,20,1,128,50,50,52,137,144,173,1,276,645238
Array3C32,20,2,128,50,50,50,133,139,150,1,275,645238
Array3C32,20,3,128,49,50,52,128,129,131,1,268,645238
Array3C32,21,0,128,49,49,50,139,141,143,1,283,645238
Array3C32,21,1,128,49,50,52,134,141,151,1,283,645238
Array3C32,21,2,128,49,49,50,139,141,143,1,283,645238
Array3C32,21,3,128,50,50,52,134,140,151,1,283,645238
Array3C32,22,0,128,50,50,52,141,145,170,1,295,645238
Array3C32,22,1,128,50,50,52,141,146,152,1,296,645238
Array3C32,22,2,128,49,50,52,141,145,169,1,295,645238
Array3C32,22,3,128,49,50,52,142,147,173,1,296,645238
Array3C32,23,0,128,50,50,50,139,146,157,1,303,645238
Array3C32,23,1,128,49,50,53,139,143,170,1,303,645238
Array3C32,23,2,128,50,50,50,139,146,157,1,303,645238
Array3C32,23,3,128,49,50,53,139,143,170,1,303,645238
Array3C32,24,0,128,50,50,50,141,148,158,1,314,645238
Array3C32,24,1,128,49,50,53,140,145,171,1,313,645238
Array3C32,24,2,128,49,49,50,143,149,157,1,314,645238
Array3C32,24,3,128,50,50,50,139,144,157,1,311,645238
Array3C32,25,0,128,50,50,52,145,151,180,1,325,645238
Array3C32,25,1,128,50,50,53,149,151,155,1,326,645238
Array3C32,25,2,128,49,50,52,145,151,180,1,325,645238
Array3C32,25,3,128,51,51,53,149,152,155,1,328,645238
Array3C32,26,0,128,49,50,52,158,160,162,1,340,645238
Array3C32,26,1,128,49,50,52,152,155,177,1,337,645238
Array3C32,26,2,128,50,50,53,154,156,161,1,337,645238
Array3C32,26,3,128,50,50,52,153,157,180,1,338,645238
