alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,91,91,91,91,91,91,3,59,645238
Array3C32,1,1,128,91,91,91,91,91,91,1,59,645238
Array3C32,1,2,128,91,91,91,91,91,91,1,59,645238
Array3C32,1,3,128,91,91,91,91,91,91,1,59,645238
Array3C32,2,0,128,91,91,92,91,91,92,1,59,645238
Array3C32,2,1,128,91,91,92,91,91,92,1,59,645238
Array3C32,2,2,128,91,91,91,91,91,91,1,58,645238
Array3C32,2,3,128,91,91,91,91,91,91,1,58,645238
Array3C32,3,0,128,91,91,92,91,91,92,1,59,645238
Array3C32,3,1,128,92,93,95,92,93,95,1,60,645238
Array3C32,3,2,128,91,91,91,91,91,91,1,58,645238
Array3C32,3,3,128,91,91,91,91,91,91,1,59,645238
Array3C32,4,0,128,91,92,94,91,92,94,1,59,645238
Array3C32,4,1,128,91,91,92,91,91,92,1,59,645238
Array3C32,4,2,128,91,91,92,91,91,92,1,58,645238
Array3C32,4,3,128,91,91,91,91,91,91,1,58,645238
Array3C32,5,0,128,91,92,96,91,92,96,1,59,645238
Array3C32,5,1,128,91,91,92,91,91,92,1,59,645238
Array3C32,5,2,128,91,92,96,91,92,96,1,59,645238
Array3C32,5,3,128,91,92,95,91,92,95,1,59,645238
Array3C32,6,0,128,91,92,96,91,92,96,1,59,645238
Array3C32,6,1,128,91,92,94,91,92,94,1,59,645238
Array3C32,6,2,128,91,92,96,91,92,96,2,59,645238
Array3C32,6,3,128,91,91,94,91,91,94,1,59,645238
Array3C32,7,0,128,91,91,91,91,91,91,1,58,645238
Array3C32,7,1,128,91,92,95,91,92,95,1,59,645238
Array3C32,7,2,128,91,91,92,91,91,92,1,58,645238
Array3C32,7,3,128,91,91,92,91,91,92,1,58,645238
Array3C32,8,0,128,91,92,96,91,92,96,1,59,645238
Array3C32,8,1,128,91,92,97,91,92,97,1,59,645238
Array3C32,8,2,128,91,92,96,91,92,96,1,59,645238
Array3C32,8,3,128,91,92,96,91,92,96,1,59,645238
Array3C32,9,0,128,91,91,92,91,91,92,1,59,645238
Array3C32,9,1,128,91,91,92,91,91,92,1,58,645238
Array3C32,9,2,128,91,91,92,91,91,92,1,59,645238
Array3C32,9,3,128,91,91,92,91,91,92,1,58,645238
Array3C32,10,0,128,91,91,94,91,91,94,1,59,645238
Array3C32,10,1,128,91,91,92,91,91,92,2,58,645238
Array3C32,10,2,128,91,91,92,91,91,92,1,59,645238
Array3C32,10,3,128,91,91,92,91,91,92,1,58,645238
Array3C32,11,0,128,91,91,92,91,91,92,1,58,645238
Array3C32,11,1,128,91,91,94,91,91,94,1,59,645238
Array3C32,11,2,128,91,91,92,91,91,92,1,58,645238
Array3C32,11,3,128,91,91,95,91,91,95,1,59,645238
