alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ArrayAtomicF,1,0,128,42,42,42,37,37,37,171,51,644014
ArrayAtomicF,1,1,128,42,42,42,37,37,37,54,52,644014
ArrayAtomicF,1,2,128,40,40,40,37,37,37,55,50,644014
ArrayAtomicF,1,3,128,40,40,40,37,37,37,54,50,644014
TableF,1,0,128,39,39,39,37,37,37,54,49,644014
TableF,1,1,128,40,40,40,37,37,37,49,50,644014
TableF,1,2,128,38,38,38,37,37,37,36,49,644014
TableF,1,3,128,39,39,39,37,37,37,34,49,644014
ArrayAtomicD,1,0,128,63,63,63,32,32,32,219,62,645275
ArrayAtomicD,1,1,128,62,62,62,31,31,31,39,61,645275
ArrayAtomicD,1,2,128,61,61,61,31,31,31,40,60,645275
ArrayAtomicD,1,3,128,62,62,62,31,31,31,39,61,645275
TableD,1,0,128,61,61,61,32,32,32,40,61,645275
TableD,1,1,128,62,62,62,32,32,32,39,61,645275
TableD,1,2,128,61,61,61,33,33,33,40,61,645275
TableD,1,3,128,62,62,62,32,32,32,39,61,645275
ArrayAtomicF,2,0,128,40,40,41,44,44,44,34,55,644014
ArrayAtomicF,2,1,128,39,39,39,42,42,43,34,53,644014
ArrayAtomicF,2,2,128,39,39,39,44,44,45,34,54,644014
ArrayAtomicF,2,3,128,39,39,40,41,42,44,34,53,644014
TableF,2,0,128,38,38,39,42,42,43,34,53,644014
TableF,2,1,128,39,39,40,42,42,43,34,53,644014
TableF,2,2,128,38,38,38,42,42,43,34,52,644014
TableF,2,3,128,38,38,39,42,42,43,34,52,644014
ArrayAtomicD,2,0,128,61,61,61,34,34,34,40,62,645275
ArrayAtomicD,2,1,128,62,62,62,34,34,35,39,62,645275
ArrayAtomicD,2,2,128,62,62,62,34,34,35,39,63,645275
ArrayAtomicD,2,3,128,62,62,62,34,34,35,39,62,645275
TableD,2,0,128,62,62,62,35,35,36,39,63,645275
TableD,2,1,128,62,62,63,34,34,34,39,63,645275
TableD,2,2,128,62,62,62,35,35,35,40,63,645275
TableD,2,3,128,62,62,63,37,37,37,39,65,645275
ArrayAtomicF,3,0,128,39,40,42,45,45,46,34,56,644014
ArrayAtomicF,3,1,128,38,38,39,43,43,44,34,53,644014
ArrayAtomicF,3,2,128,39,39,39,45,45,45,34,55,644014
ArrayAtomicF,3,3,128,39,39,39,43,44,45,34,54,644014
TableF,3,0,128,39,39,40,45,45,45,34,55,644014
TableF,3,1,128,38,38,39,44,44,44,34,54,644014
TableF,3,2,128,39,39,40,45,45,45,34,55,644014
TableF,3,3,128,38,38,39,44,44,44,34,53,644014
ArrayAtomicD,3,0,128,62,63,64,37,37,37,39,65,645275
ArrayAtomicD,3,1,128,62,62,63,34,35,36,39,63,645275
ArrayAtomicD,3,2,128,62,63,64,38,38,38,39,66,645275
ArrayAtomicD,3,3,128,62,62,62,34,34,35,39,63,645275
TableD,3,0,128,62,62,63,35,36,37,39,64,645275
TableD,3,1,128,62,62,63,35,35,36,39,64,645275
TableD,3,2,128,62,62,63,35,36,37,39,64,645275
TableD,3,3,128,62,62,63,35,36,38,39,64,645275
ArrayAtomicF,4,0,128,39,40,41,45,46,47,34,56,644014
ArrayAtomicF,4,1,128,39,39,40,46,46,48,34,56,644014
ArrayAtomicF,4,2,128,39,39,40,45,47,48,34,56,644014
ArrayAtomicF,4,3,128,39,39,40,46,46,47,34,56,644014
TableF,4,0,128,38,38,39,45,47,49,34,56,644014
TableF,4,1,128,38,38,39,45,45,46,33,55,644014
TableF,4,2,128,38,38,39,46,47,49,33,56,644014
TableF,4,3,128,38,38,39,46,46,47,33,55,644014
ArrayAtomicD,4,0,128,63,64,65,39,39,40,40,67,645275
ArrayAtomicD,4,1,128,63,65,72,36,36,37,39,71,645275
ArrayAtomicD,4,2,128,63,63,64,38,38,38,39,67,645275
ArrayAtomicD,4,3,128,63,63,64,37,37,38,39,66,645275
TableD,4,0,128,63,64,65,39,40,42,39,68,645275
TableD,4,1,128,63,63,64,38,39,41,39,67,645275
TableD,4,2,128,63,64,66,35,36,37,39,66,645275
TableD,4,3,128,63,63,64,35,37,39,39,66,645275
ArrayAtomicF,5,0,128,39,40,42,48,50,53,34,59,644014
ArrayAtomicF,5,1,128,39,39,39,44,46,48,34,56,644014
ArrayAtomicF,5,2,128,39,39,40,48,49,51,34,58,644014
ArrayAtomicF,5,3,128,39,39,40,44,46,48,34,56,644014
TableF,5,0,128,38,39,40,48,48,50,34,57,644014
TableF,5,1,128,38,38,39,46,46,47,34,55,644014
TableF,5,2,128,38,39,40,47,47,49,34,57,644014
TableF,5,3,128,38,38,39,48,48,51,34,57,644014
ArrayAtomicD,5,0,128,64,64,66,42,43,45,40,71,645275
ArrayAtomicD,5,1,128,64,64,66,37,37,38,39,67,645275
ArrayAtomicD,5,2,128,63,65,67,42,43,44,39,71,645275
ArrayAtomicD,5,3,128,64,65,67,37,37,37,39,67,645275
TableD,5,0,128,64,65,67,42,43,45,39,71,645275
TableD,5,1,128,64,65,67,38,41,44,39,71,645275
TableD,5,2,128,64,64,66,38,43,45,39,70,645275
TableD,5,3,128,64,65,67,36,42,46,39,70,645275
ArrayAtomicF,6,0,128,39,39,41,47,48,49,34,58,644014
ArrayAtomicF,6,1,128,39,39,40,46,47,49,34,56,644014
ArrayAtomicF,6,2,128,39,39,40,49,49,49,34,58,644014
ArrayAtomicF,6,3,128,39,39,39,44,46,48,34,55,644014
TableF,6,0,128,39,39,39,49,49,51,34,58,644014
TableF,6,1,128,38,38,39,45,46,48,34,56,644014
TableF,6,2,128,38,38,39,47,48,50,34,56,644014
TableF,6,3,128,38,38,39,47,48,49,34,56,644014
ArrayAtomicD,6,0,128,65,66,69,45,45,46,40,74,645275
ArrayAtomicD,6,1,128,64,66,68,37,39,40,40,70,645275
ArrayAtomicD,6,2,128,65,66,69,45,45,47,40,74,645275
ArrayAtomicD,6,3,128,64,66,69,40,41,43,40,71,645275
TableD,6,0,128,64,66,70,35,42,46,40,73,645275
TableD,6,1,128,65,66,69,38,42,45,40,72,645275
TableD,6,2,128,64,66,69,41,42,44,39,72,645275
TableD,6,3,128,64,66,69,39,44,46,39,73,645275
ArrayAtomicF,7,0,128,39,39,42,52,52,53,34,61,644014
ArrayAtomicF,7,1,128,39,39,40,45,49,52,34,58,644014
ArrayAtomicF,7,2,128,39,39,40,51,51,51,35,59,644014
ArrayAtomicF,7,3,128,39,39,40,45,48,51,34,57,644014
TableF,7,0,128,38,38,39,44,48,50,34,57,644014
TableF,7,1,128,39,39,39,45,49,51,34,57,644014
TableF,7,2,128,38,38,39,44,49,51,34,57,644014
TableF,7,3,128,39,39,39,47,49,50,34,57,644014
ArrayAtomicD,7,0,128,65,68,73,43,43,45,40,75,645275
ArrayAtomicD,7,1,128,65,67,71,41,41,42,40,72,645275
ArrayAtomicD,7,2,128,65,68,72,44,44,45,40,75,645275
ArrayAtomicD,7,3,128,65,67,72,40,41,42,40,73,645275
TableD,7,0,128,64,67,70,38,42,44,40,72,645275
TableD,7,1,128,65,68,71,41,46,49,40,76,645275
TableD,7,2,128,65,68,71,35,41,44,39,73,645275
TableD,7,3,128,64,67,71,42,45,47,39,75,645275
ArrayAtomicF,8,0,128,39,39,41,48,51,52,34,60,644014
ArrayAtomicF,8,1,128,39,39,40,47,50,51,34,58,644014
ArrayAtomicF,8,2,128,39,39,39,48,50,51,34,58,644014
ArrayAtomicF,8,3,128,39,39,41,46,48,50,34,57,644014
TableF,8,0,128,38,38,39,50,51,52,34,58,644014
TableF,8,1,128,38,39,47,42,57,118,34,68,644014
TableF,8,2,128,38,38,39,50,50,51,34,58,644014
TableF,8,3,128,38,38,39,50,50,51,34,58,644014
ArrayAtomicD,8,0,128,66,70,75,47,48,49,40,79,645275
ArrayAtomicD,8,1,128,65,69,75,42,42,44,40,76,645275
ArrayAtomicD,8,2,128,65,70,75,48,48,48,40,80,645275
ArrayAtomicD,8,3,128,65,69,74,40,40,41,40,75,645275
TableD,8,0,128,66,70,75,33,42,45,40,76,645275
TableD,8,1,128,65,69,74,39,44,47,39,77,645275
TableD,8,2,128,65,69,74,38,43,46,40,76,645275
TableD,8,3,128,65,69,74,38,42,44,40,75,645275
ArrayAtomicF,9,0,128,39,46,97,48,55,58,34,98,644014
ArrayAtomicF,9,1,128,39,39,40,42,50,52,34,58,644014
ArrayAtomicF,9,2,128,39,39,40,52,56,58,34,62,644014
ArrayAtomicF,9,3,128,39,39,40,48,51,54,34,59,644014
TableF,9,0,128,39,39,39,50,51,55,34,59,644014
TableF,9,1,128,38,38,39,48,50,53,34,58,644014
TableF,9,2,128,38,38,39,50,53,56,34,60,644014
TableF,9,3,128,38,38,39,48,50,51,34,58,644014
ArrayAtomicD,9,0,128,68,72,78,42,46,48,40,81,645275
ArrayAtomicD,9,1,128,65,71,76,41,42,43,40,76,645275
ArrayAtomicD,9,2,128,65,71,77,46,50,52,40,83,645275
ArrayAtomicD,9,3,128,65,71,77,40,41,43,40,77,645275
TableD,9,0,128,65,71,77,40,47,51,40,81,645275
TableD,9,1,128,66,72,86,45,47,50,39,86,645275
TableD,9,2,128,66,71,77,39,45,48,39,79,645275
TableD,9,3,128,66,71,78,45,47,50,39,81,645275
ArrayAtomicF,10,0,128,39,39,41,45,52,56,34,60,644014
ArrayAtomicF,10,1,128,39,39,40,46,49,52,34,58,644014
ArrayAtomicF,10,2,128,39,40,49,46,58,117,34,69,644014
ArrayAtomicF,10,3,128,39,39,40,45,50,53,34,59,644014
TableF,10,0,128,38,38,39,48,53,58,34,60,644014
TableF,10,1,128,38,38,39,49,49,50,34,57,644014
TableF,10,2,128,38,38,40,48,52,55,34,59,644014
TableF,10,3,128,38,39,40,47,51,55,34,59,644014
ArrayAtomicD,10,0,128,67,74,81,44,46,49,40,82,645275
ArrayAtomicD,10,1,128,66,73,81,38,42,44,40,80,645275
ArrayAtomicD,10,2,128,66,73,81,40,46,49,40,82,645275
ArrayAtomicD,10,3,128,66,73,81,40,43,44,40,80,645275
TableD,10,0,128,66,73,81,39,44,45,40,80,645275
TableD,10,1,128,66,73,81,39,45,47,40,82,645275
TableD,10,2,128,66,74,89,38,45,47,40,87,645275
TableD,10,3,128,66,73,81,38,43,45,40,80,645275
ArrayAtomicF,11,0,128,39,39,42,47,51,54,34,60,644014
ArrayAtomicF,11,1,128,39,39,40,47,51,54,34,59,644014
ArrayAtomicF,11,2,128,39,39,40,49,52,55,34,60,644014
ArrayAtomicF,11,3,128,39,40,41,45,48,51,34,58,644014
TableF,11,0,128,38,39,40,51,54,56,34,60,644014
TableF,11,1,128,39,39,39,48,48,50,34,57,644014
TableF,11,2,128,38,38,39,51,54,57,34,61,644014
TableF,11,3,128,38,39,40,50,51,52,34,59,644014
ArrayAtomicD,11,0,128,69,76,85,42,46,48,40,84,645275
ArrayAtomicD,11,1,128,66,76,87,39,45,48,40,86,645275
ArrayAtomicD,11,2,128,67,75,84,42,46,48,40,84,645275
ArrayAtomicD,11,3,128,68,76,85,39,45,47,40,84,645275
TableD,11,0,128,67,76,83,42,45,47,40,83,645275
TableD,11,1,128,67,75,84,40,45,48,40,83,645275
TableD,11,2,128,67,75,84,43,46,49,40,84,645275
TableD,11,3,128,67,75,84,43,47,51,40,85,645275
ArrayAtomicF,12,0,128,39,40,42,47,50,53,34,59,644014
ArrayAtomicF,12,1,128,39,39,40,46,48,51,34,57,644014
ArrayAtomicF,12,2,128,39,39,40,49,51,54,34,59,644014
ArrayAtomicF,12,3,128,39,39,40,46,49,51,34,58,644014
TableF,12,0,128,38,38,39,50,53,55,34,60,644014
TableF,12,1,128,38,38,39,50,51,52,34,59,644014
TableF,12,2,128,38,39,40,49,49,50,34,58,644014
TableF,12,3,128,38,38,40,49,50,52,34,58,644014
ArrayAtomicD,12,0,128,70,82,93,40,42,45,40,88,645275
ArrayAtomicD,12,1,128,68,77,87,42,46,48,40,87,645275
ArrayAtomicD,12,2,128,71,82,93,40,42,45,40,88,645275
ArrayAtomicD,12,3,128,67,76,87,41,45,48,40,86,645275
TableD,12,0,128,70,82,93,38,48,51,40,92,645275
TableD,12,1,128,66,78,96,42,48,50,40,94,645275
TableD,12,2,128,68,78,89,40,46,49,40,88,645275
TableD,12,3,128,67,78,96,43,46,48,40,92,645275
ArrayAtomicF,13,0,128,40,40,42,47,52,57,34,61,644014
ArrayAtomicF,13,1,128,40,40,41,47,49,53,34,59,644014
ArrayAtomicF,13,2,128,40,40,41,48,52,57,34,60,644014
ArrayAtomicF,13,3,128,39,40,41,47,51,55,34,60,644014
TableF,13,0,128,38,38,39,49,53,54,34,60,644014
TableF,13,1,128,39,39,39,46,50,52,34,58,644014
TableF,13,2,128,38,38,39,50,52,53,34,60,644014
TableF,13,3,128,39,39,40,50,51,52,34,59,644014
ArrayAtomicD,13,0,128,68,80,91,41,46,50,40,89,645275
ArrayAtomicD,13,1,128,69,82,93,40,43,45,40,88,645275
ArrayAtomicD,13,2,128,68,80,92,42,46,50,40,90,645275
ArrayAtomicD,13,3,128,67,80,92,40,43,45,40,88,645275
TableD,13,0,128,68,80,92,41,47,50,40,91,645275
TableD,13,1,128,68,81,92,42,46,48,40,89,645275
TableD,13,2,128,76,86,97,39,44,47,40,91,645275
TableD,13,3,128,67,79,91,41,44,46,40,88,645275
ArrayAtomicF,14,0,128,39,39,41,50,51,54,34,60,644014
ArrayAtomicF,14,1,128,39,39,40,47,50,53,34,58,644014
ArrayAtomicF,14,2,128,39,40,41,49,51,54,34,60,644014
ArrayAtomicF,14,3,128,39,39,40,47,49,52,34,58,644014
TableF,14,0,128,38,38,39,48,54,56,34,60,644014
TableF,14,1,128,39,39,39,46,51,52,34,59,644014
TableF,14,2,128,38,38,39,49,52,55,34,60,644014
TableF,14,3,128,39,39,39,49,54,56,34,61,644014
ArrayAtomicD,14,0,128,68,82,95,45,47,52,40,93,645275
ArrayAtomicD,14,1,128,67,83,100,40,49,86,40,97,645275
ArrayAtomicD,14,2,128,68,82,96,45,48,52,40,94,645275
ArrayAtomicD,14,3,128,68,82,103,42,47,51,40,97,645275
TableD,14,0,128,68,84,96,40,45,48,40,92,645275
TableD,14,1,128,68,81,95,42,47,49,40,92,645275
TableD,14,2,128,69,84,96,42,46,48,40,92,645275
TableD,14,3,128,68,81,96,42,48,51,40,93,645275
ArrayAtomicF,15,0,128,39,40,42,49,51,53,34,60,644014
ArrayAtomicF,15,1,128,40,40,40,49,50,53,34,59,644014
ArrayAtomicF,15,2,128,39,39,40,51,52,54,34,60,644014
ArrayAtomicF,15,3,128,40,40,41,49,50,52,34,59,644014
TableF,15,0,128,39,39,40,43,50,52,34,58,644014
TableF,15,1,128,38,39,40,47,52,55,34,60,644014
TableF,15,2,128,38,38,39,44,51,53,34,59,644014
TableF,15,3,128,38,38,39,43,50,52,34,58,644014
ArrayAtomicD,15,0,128,68,85,99,46,47,48,40,95,645275
ArrayAtomicD,15,1,128,69,85,99,45,47,49,40,94,645275
ArrayAtomicD,15,2,128,69,85,99,43,45,47,41,93,645275
ArrayAtomicD,15,3,128,71,84,98,44,46,48,40,94,645275
TableD,15,0,128,69,84,99,45,49,53,40,96,645275
TableD,15,1,128,69,83,98,39,47,50,40,94,645275
TableD,15,2,128,69,87,101,42,48,50,40,96,645275
TableD,15,3,128,69,84,98,40,45,49,40,93,645275
ArrayAtomicF,16,0,128,39,39,42,48,50,52,34,59,644014
ArrayAtomicF,16,1,128,39,39,40,46,48,52,34,58,644014
ArrayAtomicF,16,2,128,39,39,40,48,51,53,34,59,644014
ArrayAtomicF,16,3,128,39,39,41,46,47,50,34,57,644014
TableF,16,0,128,39,39,39,47,52,54,34,60,644014
TableF,16,1,128,39,39,39,49,50,53,34,59,644014
TableF,16,2,128,38,38,39,50,52,53,34,59,644014
TableF,16,3,128,39,39,40,49,51,54,34,59,644014
ArrayAtomicD,16,0,128,68,87,104,44,45,47,40,97,645275
ArrayAtomicD,16,1,128,69,87,106,44,45,48,40,98,645275
ArrayAtomicD,16,2,128,68,87,106,45,45,47,40,98,645275
ArrayAtomicD,16,3,128,69,87,105,41,43,46,40,96,645275
TableD,16,0,128,69,88,107,38,47,49,40,99,645275
TableD,16,1,128,69,87,105,41,45,47,40,97,645275
TableD,16,2,128,68,87,105,40,46,49,40,98,645275
TableD,16,3,128,68,87,106,38,45,48,40,98,645275
ArrayAtomicF,17,0,128,39,39,41,40,50,54,34,59,644014
ArrayAtomicF,17,1,128,40,40,41,45,50,54,34,59,644014
ArrayAtomicF,17,2,128,40,40,41,44,49,51,34,59,644014
ArrayAtomicF,17,3,128,39,39,40,46,50,53,34,59,644014
TableF,17,0,128,39,39,40,47,48,51,34,58,644014
TableF,17,1,128,38,38,39,52,55,58,34,62,644014
TableF,17,2,128,39,39,39,49,52,54,34,60,644014
TableF,17,3,128,38,38,39,48,52,54,34,60,644014
ArrayAtomicD,17,0,128,69,89,106,37,46,48,40,99,645275
ArrayAtomicD,17,1,128,69,89,107,43,44,47,41,98,645275
ArrayAtomicD,17,2,128,69,89,107,41,45,47,40,98,645275
ArrayAtomicD,17,3,128,69,89,107,40,44,46,41,97,645275
TableD,17,0,128,69,89,106,44,48,50,41,100,645275
TableD,17,1,128,69,89,106,40,49,52,40,101,645275
TableD,17,2,128,69,89,106,43,48,51,40,100,645275
TableD,17,3,128,70,89,106,41,47,50,40,100,645275
ArrayAtomicF,18,0,128,40,40,42,44,51,54,34,61,644014
ArrayAtomicF,18,1,128,40,40,40,44,51,55,34,61,644014
ArrayAtomicF,18,2,128,39,39,40,46,51,53,34,60,644014
ArrayAtomicF,18,3,128,39,39,40,44,52,56,34,61,644014
TableF,18,0,128,39,39,39,50,52,54,34,60,644014
TableF,18,1,128,39,39,40,48,50,52,34,59,644014
TableF,18,2,128,38,39,40,47,50,53,34,58,644014
TableF,18,3,128,38,38,39,51,54,56,34,61,644014
ArrayAtomicD,18,0,128,69,92,111,43,48,50,40,103,645275
ArrayAtomicD,18,1,128,70,92,112,44,46,49,41,103,645275
ArrayAtomicD,18,2,128,69,92,112,40,46,50,40,103,645275
ArrayAtomicD,18,3,128,70,92,112,44,46,49,40,103,645275
TableD,18,0,128,70,92,112,42,48,52,40,104,645275
TableD,18,1,128,69,92,112,43,51,54,40,106,645275
TableD,18,2,128,70,94,114,40,48,50,41,105,645275
TableD,18,3,128,69,92,112,41,48,52,40,104,645275
