alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ArrayAtomicF,1,0,128,123,123,123,123,123,123,149,0,1257
ArrayAtomicF,1,1,128,122,122,122,122,122,122,33,0,1257
ArrayAtomicF,1,2,128,118,118,118,118,118,118,33,0,1257
ArrayAtomicF,1,3,128,112,112,112,112,112,112,33,0,1257
TableF,1,0,128,127,127,127,127,127,127,33,0,1257
TableF,1,1,128,123,123,123,123,123,123,33,0,1257
TableF,1,2,128,123,123,123,123,123,123,33,0,1257
TableF,1,3,128,111,111,111,111,111,111,33,0,1257
ArrayAtomicD,1,0,128,554,554,554,554,554,554,214,0,1260
ArrayAtomicD,1,1,128,447,447,447,447,447,447,39,0,1260
ArrayAtomicD,1,2,128,441,441,441,441,441,441,39,0,1260
ArrayAtomicD,1,3,128,439,439,439,439,439,439,39,0,1260
TableD,1,0,128,639,639,639,639,639,639,39,0,1260
TableD,1,1,128,552,552,552,552,552,552,39,0,1260
TableD,1,2,128,533,533,533,533,533,533,39,0,1260
TableD,1,3,128,523,523,523,523,523,523,39,0,1260
ArrayAtomicF,2,0,128,308,312,317,308,312,317,33,0,1257
ArrayAtomicF,2,1,128,281,350,419,281,350,419,33,0,1257
ArrayAtomicF,2,2,128,369,416,464,369,416,464,33,0,1257
ArrayAtomicF,2,3,128,272,334,396,272,334,396,33,0,1257
TableF,2,0,128,320,397,475,320,397,475,33,0,1257
TableF,2,1,128,348,389,430,348,389,430,33,0,1257
TableF,2,2,128,318,379,440,318,379,440,33,0,1257
TableF,2,3,128,348,394,440,348,394,440,33,0,1257
ArrayAtomicD,2,0,128,777,960,1144,777,960,1144,39,0,1260
ArrayAtomicD,2,1,128,698,854,1011,698,854,1011,39,0,1260
ArrayAtomicD,2,2,128,740,815,890,740,815,890,39,0,1260
ArrayAtomicD,2,3,128,686,823,961,686,823,961,39,0,1260
TableD,2,0,128,803,909,1015,803,909,1015,39,1,1260
TableD,2,1,128,778,871,965,778,871,965,39,0,1260
TableD,2,2,128,753,842,932,753,842,932,39,0,1260
TableD,2,3,128,750,826,903,750,826,903,39,0,1260
ArrayAtomicF,3,0,128,391,450,545,391,450,545,33,0,1257
ArrayAtomicF,3,1,128,336,352,366,336,352,366,33,0,1257
ArrayAtomicF,3,2,128,415,427,441,415,427,441,33,0,1257
ArrayAtomicF,3,3,128,335,352,371,335,352,371,33,0,1257
TableF,3,0,128,380,400,427,380,400,427,33,0,1257
TableF,3,1,128,343,371,392,343,371,392,33,0,1257
TableF,3,2,128,377,417,483,377,417,483,33,0,1257
TableF,3,3,128,326,353,375,326,353,375,33,0,1257
ArrayAtomicD,3,0,128,790,872,1015,790,872,1015,39,0,1260
ArrayAtomicD,3,1,128,751,861,1082,751,861,1082,39,0,1260
ArrayAtomicD,3,2,128,759,853,1025,759,853,1025,39,0,1260
ArrayAtomicD,3,3,128,723,811,976,723,811,976,39,0,1260
TableD,3,0,128,883,994,1216,883,994,1216,39,1,1260
TableD,3,1,128,852,925,1052,852,925,1052,39,1,1260
TableD,3,2,128,858,934,1070,858,934,1070,39,1,1260
TableD,3,3,128,829,920,1103,829,920,1103,39,1,1260
ArrayAtomicF,4,0,128,505,530,556,505,530,556,33,0,1257
ArrayAtomicF,4,1,128,423,456,477,423,456,477,33,0,1257
ArrayAtomicF,4,2,128,424,485,516,424,485,516,33,0,1257
ArrayAtomicF,4,3,128,429,461,485,429,461,485,33,0,1257
TableF,4,0,128,441,445,450,441,445,450,33,0,1257
TableF,4,1,128,439,454,466,439,454,466,33,0,1257
TableF,4,2,128,418,451,482,418,451,482,33,0,1257
TableF,4,3,128,445,464,479,445,464,479,33,0,1257
ArrayAtomicD,4,0,128,930,1082,1236,930,1082,1236,39,1,1260
ArrayAtomicD,4,1,128,851,1014,1160,851,1014,1160,39,1,1260
ArrayAtomicD,4,2,128,852,965,1048,852,965,1048,39,1,1260
ArrayAtomicD,4,3,128,873,1076,1273,873,1076,1273,39,1,1260
TableD,4,0,128,995,1098,1180,995,1098,1180,39,1,1260
TableD,4,1,128,987,1079,1166,987,1079,1166,39,1,1260
TableD,4,2,128,967,1050,1136,967,1050,1136,39,1,1260
TableD,4,3,128,930,1072,1197,930,1072,1197,39,1,1260
ArrayAtomicF,5,0,128,522,560,583,522,560,583,33,0,1257
ArrayAtomicF,5,1,128,489,587,629,489,587,629,33,0,1257
ArrayAtomicF,5,2,128,550,629,666,550,629,666,33,0,1257
ArrayAtomicF,5,3,128,495,536,572,495,536,572,33,0,1257
TableF,5,0,128,425,497,534,425,497,534,33,0,1257
TableF,5,1,128,584,613,643,584,613,643,33,0,1257
TableF,5,2,128,464,493,514,464,493,514,33,0,1257
