alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ArrayAtomicF,1,0,128,65,65,65,65,65,65,149,42,644014
ArrayAtomicF,1,1,128,65,65,65,65,65,65,34,42,644014
ArrayAtomicF,1,2,128,65,65,65,65,65,65,34,42,644014
ArrayAtomicF,1,3,128,65,65,65,65,65,65,34,42,644014
TableF,1,0,128,65,65,65,65,65,65,34,42,644014
TableF,1,1,128,66,66,66,66,66,66,34,42,644014
TableF,1,2,128,66,66,66,66,66,66,34,42,644014
TableF,1,3,128,65,65,65,65,65,65,34,42,644014
ArrayAtomicD,1,0,128,81,81,81,81,81,81,218,52,645275
ArrayAtomicD,1,1,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicD,1,2,128,80,80,80,80,80,80,40,52,645275
ArrayAtomicD,1,3,128,81,81,81,81,81,81,40,52,645275
TableD,1,0,128,81,81,81,81,81,81,40,52,645275
TableD,1,1,128,81,81,81,81,81,81,40,52,645275
TableD,1,2,128,81,81,81,81,81,81,40,52,645275
TableD,1,3,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicF,2,0,128,65,65,65,65,65,65,34,42,644014
ArrayAtomicF,2,1,128,65,66,68,65,66,68,33,43,644014
ArrayAtomicF,2,2,128,65,65,65,65,65,65,33,42,644014
ArrayAtomicF,2,3,128,66,67,69,66,67,69,33,43,644014
TableF,2,0,128,65,65,65,65,65,65,34,42,644014
TableF,2,1,128,65,65,65,65,65,65,33,42,644014
TableF,2,2,128,66,66,66,66,66,66,33,42,644014
TableF,2,3,128,65,65,66,65,65,66,33,42,644014
ArrayAtomicD,2,0,128,80,80,80,80,80,80,40,52,645275
ArrayAtomicD,2,1,128,81,81,82,81,81,82,40,52,645275
ArrayAtomicD,2,2,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicD,2,3,128,81,81,81,81,81,81,39,52,645275
TableD,2,0,128,81,81,81,81,81,81,39,52,645275
TableD,2,1,128,81,81,82,81,81,82,39,52,645275
TableD,2,2,128,81,81,81,81,81,81,39,52,645275
TableD,2,3,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicF,3,0,128,65,65,66,65,65,66,34,42,644014
ArrayAtomicF,3,1,128,65,65,66,65,65,66,33,42,644014
ArrayAtomicF,3,2,128,65,65,66,65,65,66,33,41,644014
ArrayAtomicF,3,3,128,65,65,65,65,65,65,34,41,644014
TableF,3,0,128,65,65,67,65,65,67,33,42,644014
TableF,3,1,128,65,65,66,65,65,66,33,42,644014
TableF,3,2,128,65,65,66,65,65,66,33,42,644014
TableF,3,3,128,66,66,67,66,66,67,33,42,644014
ArrayAtomicD,3,0,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicD,3,1,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicD,3,2,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicD,3,3,128,80,80,81,80,80,81,39,52,645275
TableD,3,0,128,82,82,82,82,82,82,39,53,645275
TableD,3,1,128,82,82,83,82,82,83,40,53,645275
TableD,3,2,128,82,82,83,82,82,83,39,53,645275
TableD,3,3,128,81,81,82,81,81,82,39,52,645275
ArrayAtomicF,4,0,128,65,65,66,65,65,66,34,42,644014
ArrayAtomicF,4,1,128,65,65,66,65,65,66,33,42,644014
ArrayAtomicF,4,2,128,65,65,65,65,65,65,33,42,644014
ArrayAtomicF,4,3,128,65,65,66,65,65,66,33,42,644014
TableF,4,0,128,65,65,65,65,65,65,33,42,644014
TableF,4,1,128,65,65,66,65,65,66,33,42,644014
TableF,4,2,128,65,65,66,65,65,66,33,42,644014
TableF,4,3,128,65,65,66,65,65,66,33,42,644014
ArrayAtomicD,4,0,128,80,80,81,80,80,81,40,52,645275
ArrayAtomicD,4,1,128,80,80,81,80,80,81,40,52,645275
ArrayAtomicD,4,2,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicD,4,3,128,80,81,82,80,81,82,40,52,645275
TableD,4,0,128,81,81,82,81,81,82,40,52,645275
TableD,4,1,128,81,81,82,81,81,82,40,52,645275
TableD,4,2,128,81,81,82,81,81,82,40,52,645275
TableD,4,3,128,81,81,82,81,81,82,40,52,645275
ArrayAtomicF,5,0,128,65,65,66,65,65,66,34,41,644014
ArrayAtomicF,5,1,128,65,65,66,65,65,66,33,42,644014
ArrayAtomicF,5,2,128,65,65,66,65,65,66,33,42,644014
ArrayAtomicF,5,3,128,65,65,65,65,65,65,33,42,644014
TableF,5,0,128,66,66,67,66,66,67,34,42,644014
TableF,5,1,128,65,65,66,65,65,66,33,42,644014
TableF,5,2,128,65,65,66,65,65,66,33,42,644014
TableF,5,3,128,65,65,66,65,65,66,33,42,644014
ArrayAtomicD,5,0,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicD,5,1,128,80,80,81,80,80,81,40,52,645275
ArrayAtomicD,5,2,128,81,81,81,81,81,81,40,52,645275
ArrayAtomicD,5,3,128,80,81,82,80,81,82,40,52,645275
TableD,5,0,128,81,81,82,81,81,82,40,52,645275
TableD,5,1,128,82,82,83,82,82,83,40,53,645275
TableD,5,2,128,81,81,82,81,81,82,40,52,645275
TableD,5,3,128,81,81,82,81,81,82,40,52,645275
ArrayAtomicF,6,0,128,64,65,66,64,65,66,34,41,644014
ArrayAtomicF,6,1,128,65,65,66,65,65,66,34,41,644014
ArrayAtomicF,6,2,128,65,65,66,65,65,66,34,41,644014
ArrayAtomicF,6,3,128,65,65,66,65,65,66,33,41,644014
TableF,6,0,128,65,65,66,65,65,66,33,42,644014
TableF,6,1,128,65,65,66,65,65,66,33,42,644014
TableF,6,2,128,66,66,67,66,66,67,33,42,644014
TableF,6,3,128,65,65,66,65,65,66,33,42,644014
ArrayAtomicD,6,0,128,81,81,81,81,81,81,41,52,645275
ArrayAtomicD,6,1,128,81,81,81,81,81,81,41,52,645275
