alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,59,59,59,42,42,42,3,2,21843
Array3C32,1,1,128,59,59,59,41,41,41,1,2,21843
Array3C32,1,2,128,61,61,61,41,41,41,1,2,21843
Array3C32,1,3,128,57,57,57,42,42,42,1,2,21843
Array3C32,2,0,128,57,75,93,42,42,42,1,2,21843
Array3C32,2,1,128,57,73,90,42,51,60,1,2,21843
Array3C32,2,2,128,56,56,57,41,41,42,1,2,21843
Array3C32,2,3,128,58,67,76,42,52,63,1,2,21843
Array3C32,4,0,128,56,57,59,42,42,43,1,2,21843
Array3C32,4,1,128,56,68,80,42,43,46,1,2,21843
Array3C32,4,2,128,58,58,58,42,42,43,1,2,21843
Array3C32,4,3,128,58,66,75,42,42,44,1,2,21843
Array3C32,8,0,128,57,66,75,42,43,48,1,2,21843
Array3C32,8,1,128,57,66,76,43,52,61,1,2,21843
Array3C32,8,2,128,57,63,70,43,52,63,1,2,21843
Array3C32,8,3,128,57,68,78,43,51,60,1,2,21843
Array3C32,16,0,128,57,58,60,43,44,48,1,2,21843
Array3C32,16,1,128,57,57,59,43,44,48,1,2,21843
Array3C32,16,2,128,57,57,59,43,44,48,1,2,21843
Array3C32,16,3,128,57,79,103,43,44,46,1,3,21843
Array3C32,24,0,128,57,58,60,43,44,49,1,2,21843
Array3C32,24,1,128,57,58,60,42,44,48,1,2,21843
Array3C32,24,2,128,57,58,60,43,45,52,1,2,21843
Array3C32,24,3,128,57,69,81,43,56,69,1,2,21843
