alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,88,88,88,54,54,54,3,0,10921
Array3C32,1,1,128,115,115,115,55,55,55,1,0,10921
Array3C32,1,2,128,118,118,118,77,77,77,1,0,10921
Array3C32,1,3,128,120,120,120,55,55,55,1,0,10921
Array3C32,2,0,128,85,86,87,154,158,162,1,1,10921
Array3C32,2,1,128,84,106,129,144,148,153,1,1,10921
Array3C32,2,2,128,83,104,125,150,155,161,1,1,10921
Array3C32,2,3,128,83,115,147,144,149,154,1,1,10921
Array3C32,4,0,128,85,117,151,180,184,188,1,1,10921
Array3C32,4,1,128,83,83,84,170,175,178,1,1,10921
Array3C32,4,2,128,83,99,117,179,185,190,1,1,10921
Array3C32,4,3,128,83,119,156,169,172,176,1,1,10921
Array3C32,8,0,128,85,105,126,220,225,229,1,2,10921
Array3C32,8,1,128,83,85,87,209,213,216,1,2,10921
Array3C32,8,2,128,83,102,121,221,226,231,1,2,10921
Array3C32,8,3,128,83,97,113,228,235,241,1,2,10921
Array3C32,16,0,128,86,108,130,299,305,310,1,3,10921
Array3C32,16,1,128,84,100,117,291,297,303,1,3,10921
Array3C32,16,2,128,84,84,86,289,296,301,1,3,10921
Array3C32,16,3,128,83,92,101,305,314,332,1,3,10921
Array3C32,24,0,128,86,88,92,362,379,409,1,3,10921
Array3C32,24,1,128,84,85,89,358,373,411,1,3,10921
Array3C32,24,2,128,83,85,88,372,397,412,1,4,10921
Array3C32,24,3,128,84,85,88,366,412,440,1,4,10921
