alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,32,174,174,174,174,174,174,0,0,1023
Array3C32,1,1,32,173,173,173,173,173,173,0,0,1023
Array3C32,1,2,32,173,173,173,173,173,173,0,0,1023
Array3C32,1,3,32,173,173,173,173,173,173,0,0,1023
Array3C32,2,0,32,173,173,174,173,173,174,0,0,1023
Array3C32,2,1,32,173,178,183,173,178,183,0,0,1023
Array3C32,2,2,32,173,173,174,173,173,174,0,0,1023
Array3C32,2,3,32,173,173,174,173,173,174,0,0,1023
Array3C32,4,0,32,173,173,174,173,173,174,0,0,1023
Array3C32,4,1,32,173,173,174,173,173,174,0,0,1023
Array3C32,4,2,32,173,173,174,173,173,174,0,0,1023
Array3C32,4,3,32,173,173,174,173,173,174,0,0,1023
Array3C32,8,0,32,173,173,174,173,173,174,0,0,1023
Array3C32,8,1,32,173,173,174,173,173,174,0,0,1023
Array3C32,8,2,32,173,174,184,173,174,184,0,0,1023
Array3C32,8,3,32,173,173,174,173,173,174,0,0,1023
Array3C32,16,0,32,173,173,174,173,173,174,0,0,1023
Array3C32,16,1,32,173,174,175,173,174,175,0,0,1023
Array3C32,16,2,32,173,174,177,173,174,177,0,0,1023
Array3C32,16,3,32,173,173,174,173,173,174,0,0,1023
Array3C32,24,0,32,173,174,193,173,174,193,0,0,1023
Array3C32,24,1,32,173,174,194,173,174,194,0,0,1023
Array3C32,24,2,32,173,174,194,173,174,194,0,0,1023
Array3C32,24,3,32,173,175,198,173,175,198,0,0,1023
Array3C32,32,0,32,173,173,175,173,173,175,0,0,1023
Array3C32,32,1,32,180,212,335,180,212,335,0,0,1023
Array3C32,32,2,32,173,173,175,173,173,175,0,0,1023
Array3C32,32,3,32,177,188,262,177,188,262,0,0,1023
