alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ListLocal,1,0,128,20,20,20,8,8,8,665,18,645277
ListLocal,1,1,128,20,20,20,8,8,8,616,18,645277
ListLocal,1,2,128,18,18,18,8,8,8,618,17,645277
ListLocal,1,3,128,17,17,17,8,8,8,618,17,645277
ListCAS,1,0,128,33,33,33,30,30,30,608,41,645277
ListCAS,1,1,128,33,33,33,30,30,30,613,41,645277
ListCAS,1,2,128,33,33,33,30,30,30,611,41,645277
ListCAS,1,3,128,33,33,33,30,30,30,612,41,645277
ListLocked,1,0,128,35,35,35,22,22,22,612,37,645277
ListLocked,1,1,128,35,35,35,22,22,22,617,37,645277
ListLocked,1,2,128,35,35,35,22,22,22,615,37,645277
ListLocked,1,3,128,35,35,35,22,22,22,616,38,645277
ListLocal,2,0,128,19,20,21,9,9,10,616,20,645277
ListLocal,2,1,128,17,17,18,10,10,10,621,18,645277
ListLocal,2,2,128,18,18,18,10,10,10,619,18,645277
ListLocal,2,3,128,18,18,18,10,10,10,618,18,645277
ListCAS,2,0,128,292,293,294,160,164,168,609,295,645277
ListCAS,2,1,128,292,292,293,161,165,169,609,295,645277
ListCAS,2,2,128,277,279,281,170,172,175,608,293,645277
ListCAS,2,3,128,279,281,283,169,172,175,609,294,645277
ListLocked,2,0,128,323,325,328,283,284,286,617,396,645277
ListLocked,2,1,128,324,327,330,287,288,290,616,399,645277
ListLocked,2,2,128,328,330,333,289,290,291,615,402,645277
ListLocked,2,3,128,325,327,330,290,291,292,615,401,645277
ListLocal,3,0,128,19,19,21,11,11,11,616,21,645277
ListLocal,3,1,128,19,19,19,11,11,11,619,20,645277
ListLocal,3,2,128,18,18,18,11,11,11,619,28,645277
ListLocal,3,3,128,18,18,19,11,11,11,622,20,645277
ListCAS,3,0,128,516,531,540,350,395,419,608,604,645277
ListCAS,3,1,128,516,530,539,348,395,419,608,603,645277
ListCAS,3,2,128,515,530,540,350,395,418,609,603,645277
ListCAS,3,3,128,516,530,539,344,393,418,609,601,645277
ListLocked,3,0,128,511,570,600,693,694,696,615,835,645277
ListLocked,3,1,128,581,590,600,669,678,684,617,825,645277
ListLocked,3,2,128,619,626,637,654,664,670,618,840,645277
ListLocked,3,3,128,581,590,600,674,685,691,618,829,645277
ListLocal,4,0,128,20,20,22,13,13,13,619,22,645277
ListLocal,4,1,128,19,19,20,13,13,13,621,21,645277
ListLocal,4,2,128,19,19,20,13,13,13,618,21,645277
ListLocal,4,3,128,19,19,20,13,13,13,618,21,645277
ListCAS,4,0,128,721,804,844,499,625,678,608,948,645277
ListCAS,4,1,128,725,806,845,503,626,678,608,949,645277
ListCAS,4,2,128,802,873,906,500,625,678,609,988,645277
ListCAS,4,3,128,724,805,844,500,627,680,608,949,645277
ListLocked,4,0,128,1001,1039,1064,928,977,1023,616,1317,645277
ListLocked,4,1,128,1001,1038,1065,939,983,1022,615,1322,645277
ListLocked,4,2,128,1018,1044,1068,935,981,1020,615,1322,645277
ListLocked,4,3,128,1010,1040,1062,937,981,1020,616,1318,645277
ListLocal,5,0,128,20,20,23,15,15,15,619,24,645277
ListLocal,5,1,128,20,20,20,15,15,15,620,23,645277
ListLocal,5,2,128,20,20,21,15,15,15,617,23,645277
ListLocal,5,3,128,19,19,20,15,15,15,618,23,645277
ListCAS,5,0,128,1014,1114,1147,767,889,933,609,1314,645277
ListCAS,5,1,128,1012,1113,1146,747,885,935,609,1311,645277
ListCAS,5,2,128,1012,1112,1145,816,910,941,609,1327,645277
ListCAS,5,3,128,1081,1112,1127,880,911,932,609,1316,645277
