alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ListLocal,1,0,128,20,20,20,22,22,22,630,31,645277
ListLocal,1,1,128,20,20,20,22,22,22,624,31,645277
ListLocal,1,2,128,17,17,17,22,22,22,618,30,645277
ListLocal,1,3,128,18,18,18,22,22,22,622,30,645277
ListCAS,1,0,128,33,33,33,55,55,55,606,61,645277
ListCAS,1,1,128,33,33,33,56,56,56,610,62,645277
ListCAS,1,2,128,33,33,33,56,56,56,610,61,645277
ListCAS,1,3,128,32,32,32,56,56,56,611,61,645277
ListLocked,1,0,128,35,35,35,42,42,42,613,54,645277
ListLocked,1,1,128,34,34,34,42,42,42,617,53,645277
ListLocked,1,2,128,34,34,34,42,42,42,619,53,645277
ListLocked,1,3,128,34,34,34,42,42,42,617,53,645277
ListLocal,2,0,128,19,19,19,24,24,25,618,36,645277
ListLocal,2,1,128,18,18,18,24,24,25,623,36,645277
ListLocal,2,2,128,18,18,18,24,24,25,622,36,645277
ListLocal,2,3,128,18,18,18,24,24,25,621,36,645277
ListCAS,2,0,128,290,290,290,166,173,181,609,308,645277
ListCAS,2,1,128,289,289,290,166,173,181,609,308,645277
ListCAS,2,2,128,292,292,292,167,174,182,610,310,645277
ListCAS,2,3,128,288,288,289,167,175,183,610,308,645277
ListLocked,2,0,128,319,319,320,280,283,287,620,398,645277
ListLocked,2,1,128,314,315,316,281,284,288,618,396,645277
ListLocked,2,2,128,309,310,311,278,282,286,617,393,645277
ListLocked,2,3,128,314,315,317,282,285,289,619,399,645277
ListLocal,3,0,128,19,19,19,26,26,26,619,41,645277
ListLocal,3,1,128,19,19,19,26,26,26,621,43,645277
ListLocal,3,2,128,18,18,19,26,26,27,622,43,645277
ListLocal,3,3,128,18,18,19,26,26,26,621,43,645277
ListCAS,3,0,128,497,522,536,345,378,401,609,605,645277
ListCAS,3,1,128,499,521,533,349,380,402,609,604,645277
ListCAS,3,2,128,501,522,534,350,381,402,609,605,645277
ListCAS,3,3,128,498,523,537,345,378,401,610,605,645277
ListLocked,3,0,128,531,534,541,910,958,983,621,981,645277
ListLocked,3,1,128,532,538,545,911,960,986,618,986,645277
ListLocked,3,2,128,529,537,546,912,959,983,620,985,645277
ListLocked,3,3,128,539,542,548,909,958,984,617,986,645277
ListLocal,4,0,128,20,20,20,27,27,28,620,47,645277
ListLocal,4,1,128,19,20,22,27,27,29,621,51,645277
ListLocal,4,2,128,19,19,20,27,27,28,622,49,645277
ListLocal,4,3,128,19,19,20,27,27,28,620,49,645277
ListCAS,4,0,128,771,804,824,608,628,647,609,957,645277
ListCAS,4,1,128,778,807,826,605,627,647,610,957,645277
