alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ListLocked,1,0,32,45,45,45,45,45,45,186,5,131072
ListLocked,1,1,32,46,46,46,46,46,46,185,6,131072
ListLocked,1,2,32,45,45,45,45,45,45,210,5,131072
ListLocked,1,3,32,60,60,60,60,60,60,184,7,131072
ListLocked,2,0,32,1792,1809,1827,1792,1809,1827,186,236,131072
ListLocked,2,1,32,1767,1786,1805,1767,1786,1805,184,233,131072
ListLocked,2,2,32,1773,1791,1810,1773,1791,1810,186,234,131072
ListLocked,2,3,32,1777,1795,1814,1777,1795,1814,184,235,131072
ListLocked,4,0,32,3911,5634,6238,3911,5634,6238,186,737,131072
ListLocked,4,1,32,3864,5622,6241,3864,5622,6241,184,736,131072
ListLocked,4,2,32,3702,5559,6217,3702,5559,6217,186,728,131072
ListLocked,4,3,32,3861,5637,6253,3861,5637,6253,184,738,131072
ListLocked,8,0,32,5143,9981,12515,5143,9981,12515,186,1307,131072
ListLocked,8,1,32,5709,9806,12316,5709,9806,12316,184,1285,131072
ListLocked,8,2,32,4357,9670,12294,4357,9670,12294,186,1267,131072
ListLocked,8,3,32,4385,9663,12314,4385,9663,12314,184,1266,131072
ListLocked,16,0,32,10601,21161,27102,10601,21161,27102,186,2773,131072
ListLocked,16,1,32,10535,21260,27115,10535,21260,27115,185,2786,131072
ListLocked,16,2,32,10656,21199,27057,10656,21199,27057,186,2778,131072
ListLocked,16,3,32,10967,21195,27021,10967,21195,27021,185,2777,131072
ListLocked,24,0,32,18122,33543,43737,18122,33543,43737,186,4396,131072
ListLocked,24,1,32,20247,34446,43734,20247,34446,43734,186,4514,131072
ListLocked,24,2,32,20227,34351,43175,20227,34351,43175,186,4502,131072
ListLocked,24,3,32,18654,34864,43321,18654,34864,43321,185,4569,131072
ListLocked,32,0,32,24543,45760,57772,24543,45760,57772,186,5997,131072
ListLocked,32,1,32,27265,47264,60066,27265,47264,60066,187,6194,131072
ListLocked,32,2,32,22185,40453,51411,22185,40453,51411,186,5301,131072
ListLocked,32,3,32,35862,54041,61455,35862,54041,61455,188,7082,131072
