alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,54,54,54,30,30,30,2,0,1260
Array3C32,1,1,128,49,49,49,29,29,29,1,0,1260
Array3C32,1,2,128,49,49,49,29,29,29,1,0,1260
Array3C32,1,3,128,48,48,48,29,29,29,1,0,1260
Array3C32,2,0,128,50,100,150,31,57,83,1,0,1260
Array3C32,2,1,128,53,97,141,30,55,80,1,0,1260
Array3C32,2,2,128,53,97,141,29,55,82,1,0,1260
Array3C32,2,3,128,53,97,141,29,54,80,1,0,1260
Array3C32,3,0,128,53,84,146,30,49,87,1,0,1260
Array3C32,3,1,128,53,54,56,29,29,30,1,0,1260
Array3C32,3,2,128,50,82,143,29,48,85,1,0,1260
Array3C32,3,3,128,52,83,144,29,46,80,1,0,1260
Array3C32,4,0,128,51,54,57,30,30,32,1,0,1260
Array3C32,4,1,128,53,54,57,30,30,31,1,0,1260
Array3C32,4,2,128,53,54,58,30,30,32,1,0,1260
Array3C32,4,3,128,52,54,57,30,30,30,1,0,1260
Array3C32,5,0,128,50,54,57,30,30,31,1,0,1260
Array3C32,5,1,128,51,54,58,34,40,63,1,0,1260
Array3C32,5,2,128,50,51,54,30,30,31,1,0,1260
Array3C32,5,3,128,51,53,56,29,30,31,1,0,1260
Array3C32,6,0,128,53,56,58,30,31,32,1,0,1260
Array3C32,6,1,128,54,100,147,32,60,89,1,0,1260
Array3C32,6,2,128,55,100,147,32,57,83,1,0,1260
Array3C32,6,3,128,55,100,147,32,59,86,1,0,1260
Array3C32,7,0,128,53,93,146,31,57,93,1,0,1260
Array3C32,7,1,128,53,56,58,30,31,32,1,0,1260
Array3C32,7,2,128,53,93,148,31,55,87,1,0,1260
Array3C32,7,3,128,53,55,57,29,30,32,1,0,1260
Array3C32,8,0,128,52,101,152,32,59,89,1,0,1260
Array3C32,8,1,128,54,100,151,32,61,101,1,0,1260
Array3C32,8,2,128,53,100,147,32,61,92,1,0,1260
Array3C32,8,3,128,54,56,60,31,31,32,1,0,1260
Array3C32,9,0,128,54,56,61,30,31,34,1,0,1260
Array3C32,9,1,128,53,95,148,33,60,95,1,0,1260
Array3C32,9,2,128,51,95,146,32,54,85,1,0,1260
Array3C32,9,3,128,53,56,59,30,31,33,1,0,1260
Array3C32,10,0,128,56,57,61,30,32,33,1,0,1260
Array3C32,10,1,128,55,57,60,31,32,33,1,0,1260
Array3C32,10,2,128,55,57,59,31,31,33,1,0,1260
Array3C32,10,3,128,55,57,59,31,33,38,1,0,1260
Array3C32,11,0,128,55,58,62,30,31,33,1,0,1260
Array3C32,11,1,128,56,57,59,31,32,36,1,0,1260
Array3C32,11,2,128,54,56,58,30,31,33,1,0,1260
Array3C32,11,3,128,53,56,59,31,32,36,1,0,1260
Array3C32,12,0,128,61,62,65,32,35,46,1,0,1260
Array3C32,12,1,128,55,57,61,32,33,34,2,0,1260
Array3C32,12,2,128,55,57,62,31,33,35,1,0,1260
Array3C32,12,3,128,56,58,61,32,35,44,1,0,1260
Array3C32,13,0,128,56,59,62,31,35,44,1,0,1260
Array3C32,13,1,128,56,58,61,31,33,39,1,0,1260
Array3C32,13,2,128,57,59,63,31,38,46,1,0,1260
Array3C32,13,3,128,53,105,149,32,60,85,1,0,1260
Array3C32,14,0,128,56,105,168,32,61,90,1,0,1260
Array3C32,14,1,128,57,59,62,32,34,39,1,0,1260
Array3C32,14,2,128,57,59,62,32,34,40,1,0,1260
Array3C32,14,3,128,56,59,61,32,34,37,1,0,1260
Array3C32,15,0,128,56,59,64,32,34,41,1,0,1260
Array3C32,15,1,128,57,59,62,32,38,47,1,0,1260
Array3C32,15,2,128,58,61,65,32,37,42,1,0,1260
Array3C32,15,3,128,57,59,62,31,34,40,1,0,1260
Array3C32,16,0,128,52,59,62,32,38,48,1,0,1260
Array3C32,16,1,128,54,58,61,35,38,50,1,0,1260
Array3C32,16,2,128,53,59,62,32,36,43,1,0,1260
Array3C32,16,3,128,57,59,62,32,38,50,1,0,1260
Array3C32,17,0,128,54,59,63,30,35,42,1,0,1260
Array3C32,17,1,128,58,61,65,32,40,50,1,0,1260
Array3C32,17,2,128,58,60,62,31,35,43,1,0,1260
Array3C32,17,3,128,54,60,67,33,36,45,1,0,1260
Array3C32,18,0,128,56,60,64,35,40,47,1,0,1260
Array3C32,18,1,128,55,103,151,35,64,95,1,0,1260
Array3C32,18,2,128,54,103,152,34,64,94,1,0,1260
Array3C32,18,3,128,55,60,64,36,42,53,1,0,1260
Array3C32,19,0,128,55,59,63,32,39,55,1,0,1260
Array3C32,19,1,128,57,60,64,34,42,54,1,0,1260
Array3C32,19,2,128,55,60,64,31,35,48,1,0,1260
Array3C32,19,3,128,55,61,65,34,39,45,1,0,1260
Array3C32,20,0,128,54,58,64,32,39,52,1,0,1260
Array3C32,20,1,128,54,59,63,33,38,52,1,0,1260
Array3C32,20,2,128,55,60,68,33,39,47,1,0,1260
Array3C32,20,3,128,57,62,66,34,45,55,1,0,1260
Array3C32,21,0,128,57,60,65,32,36,43,1,0,1260
Array3C32,21,1,128,58,105,159,34,64,98,1,0,1260
Array3C32,21,2,128,57,60,65,36,43,55,1,0,1260
Array3C32,21,3,128,58,60,63,34,40,45,1,0,1260
Array3C32,22,0,128,54,60,65,36,43,53,1,0,1260
Array3C32,22,1,128,54,104,151,37,69,101,1,0,1260
Array3C32,22,2,128,57,104,154,37,73,190,1,0,1260
Array3C32,22,3,128,55,104,152,36,67,98,1,0,1260
Array3C32,23,0,128,58,61,68,35,43,53,1,0,1260
Array3C32,23,1,128,58,106,153,35,70,104,1,0,1260
Array3C32,23,2,128,56,105,152,35,65,95,1,0,1260
Array3C32,23,3,128,58,60,66,31,45,55,1,0,1260
Array3C32,24,0,128,56,61,66,37,44,55,1,0,1260
Array3C32,24,1,128,55,60,66,33,42,57,1,0,1260
Array3C32,24,2,128,57,60,65,32,40,53,1,0,1260
Array3C32,24,3,128,56,104,153,35,67,104,1,0,1260
Array3C32,25,0,128,58,61,67,32,43,53,1,0,1260
Array3C32,25,1,128,57,61,65,38,46,53,1,0,1260
Array3C32,25,2,128,56,60,65,33,39,49,1,0,1260
Array3C32,25,3,128,55,106,152,35,68,99,1,0,1260
Array3C32,26,0,128,55,60,70,35,43,56,1,0,1260
Array3C32,26,1,128,55,109,241,35,65,97,1,0,1260
Array3C32,26,2,128,55,61,66,38,50,64,1,0,1260
Array3C32,26,3,128,55,110,252,34,67,102,1,0,1260
