alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,52,52,52,38,38,38,2,0,1260
Array3C32,1,1,128,49,49,49,37,37,37,1,0,1260
Array3C32,1,2,128,48,48,48,37,37,37,1,0,1260
Array3C32,1,3,128,49,49,49,38,38,38,1,0,1260
Array3C32,2,0,128,49,97,145,121,122,123,1,0,1260
Array3C32,2,1,128,49,93,137,126,127,129,1,0,1260
Array3C32,2,2,128,49,92,136,136,149,163,1,0,1260
Array3C32,2,3,128,50,93,137,138,150,163,1,0,1260
Array3C32,3,0,128,50,54,61,124,129,137,1,0,1260
Array3C32,3,1,128,50,80,139,126,144,172,1,0,1260
Array3C32,3,2,128,49,54,63,121,129,138,1,0,1260
Array3C32,3,3,128,50,80,139,119,142,174,1,0,1260
Array3C32,4,0,128,51,97,146,154,156,159,1,0,1260
Array3C32,4,1,128,51,98,148,151,154,157,1,0,1260
Array3C32,4,2,128,51,53,56,141,148,153,1,0,1260
Array3C32,4,3,128,52,96,142,160,162,167,1,0,1260
Array3C32,5,0,128,51,88,143,149,171,206,1,0,1260
Array3C32,5,1,128,52,54,57,155,159,162,1,0,1260
Array3C32,5,2,128,50,52,55,151,155,163,1,0,1260
Array3C32,5,3,128,51,90,151,177,193,210,1,0,1260
Array3C32,6,0,128,53,98,146,179,202,225,1,0,1260
Array3C32,6,1,128,53,97,144,177,180,184,1,0,1260
Array3C32,6,2,128,52,97,143,170,174,178,1,0,1260
Array3C32,6,3,128,53,54,56,167,171,176,1,0,1260
Array3C32,7,0,128,52,54,56,162,168,172,1,0,1260
Array3C32,7,1,128,51,91,143,173,186,221,1,0,1260
Array3C32,7,2,128,52,54,57,163,171,176,1,0,1260
Array3C32,7,3,128,52,91,143,183,193,222,1,0,1260
Array3C32,8,0,128,54,99,150,231,249,264,1,0,1260
Array3C32,8,1,128,53,55,57,164,187,204,1,0,1260
Array3C32,8,2,128,53,99,150,177,181,185,1,0,1260
Array3C32,8,3,128,53,98,145,185,210,237,1,0,1260
Array3C32,9,0,128,51,56,58,191,202,209,1,0,1260
Array3C32,9,1,128,53,56,58,195,205,210,1,0,1260
Array3C32,9,2,128,53,93,144,181,206,221,1,0,1260
Array3C32,9,3,128,53,94,145,178,183,190,1,0,1260
Array3C32,10,0,128,53,56,59,198,216,251,1,0,1260
Array3C32,10,1,128,54,56,60,201,214,223,1,0,1260
