alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,198,198,198,198,198,198,1,0,1260
Array3C32,1,1,128,71,71,71,71,71,71,1,0,1260
Array3C32,1,2,128,197,197,197,197,197,197,1,0,1260
Array3C32,1,3,128,72,72,72,72,72,72,1,0,1260
Array3C32,2,0,128,70,133,196,70,133,196,1,0,1260
Array3C32,2,1,128,69,133,197,69,133,197,1,0,1260
Array3C32,2,2,128,69,133,197,69,133,197,1,0,1260
Array3C32,2,3,128,69,70,71,69,70,71,1,0,1260
Array3C32,3,0,128,69,70,71,69,70,71,1,0,1260
Array3C32,3,1,128,69,70,71,69,70,71,1,0,1260
Array3C32,3,2,128,69,151,196,69,151,196,1,0,1260
Array3C32,3,3,128,69,155,201,69,155,201,1,0,1260
Array3C32,4,0,128,69,131,196,69,131,196,1,0,1260
Array3C32,4,1,128,69,130,195,69,130,195,1,0,1260
Array3C32,4,2,128,69,133,201,69,133,201,1,0,1260
Array3C32,4,3,128,69,131,196,69,131,196,1,0,1260
Array3C32,5,0,128,68,148,204,68,148,204,1,0,1260
Array3C32,5,1,128,68,142,196,68,142,196,1,0,1260
Array3C32,5,2,128,68,151,210,68,151,210,1,0,1260
Array3C32,5,3,128,69,145,200,69,145,200,1,0,1260
Array3C32,6,0,128,69,149,285,69,149,285,1,0,1260
Array3C32,6,1,128,68,130,194,68,130,194,1,0,1260
Array3C32,6,2,128,68,69,72,68,69,72,1,0,1260
Array3C32,6,3,128,68,69,71,68,69,71,1,0,1260
Array3C32,7,0,128,69,110,143,69,110,143,1,0,1260
Array3C32,7,1,128,68,69,72,68,69,72,1,0,1260
Array3C32,7,2,128,73,149,211,73,149,211,1,0,1260
Array3C32,7,3,128,69,139,197,69,139,197,1,0,1260
Array3C32,8,0,128,69,131,197,69,131,197,1,0,1260
Array3C32,8,1,128,68,131,200,68,131,200,1,0,1260
Array3C32,8,2,128,68,69,71,68,69,71,1,0,1260
Array3C32,8,3,128,69,133,203,69,133,203,1,0,1260
Array3C32,9,0,128,68,69,72,68,69,72,1,0,1260
Array3C32,9,1,128,69,137,195,69,137,195,1,0,1260
Array3C32,9,2,128,68,69,71,68,69,71,1,0,1260
Array3C32,9,3,128,69,79,90,69,79,90,1,0,1260
Array3C32,10,0,128,72,141,213,72,141,213,1,0,1260
Array3C32,10,1,128,69,133,201,69,133,201,1,0,1260
Array3C32,10,2,128,69,130,195,69,130,195,1,0,1260
Array3C32,10,3,128,69,69,72,69,69,72,1,0,1260
Array3C32,11,0,128,68,107,142,68,107,142,1,0,1260
Array3C32,11,1,128,69,69,71,69,69,71,1,0,1260
Array3C32,11,2,128,69,69,72,69,69,72,1,0,1260
Array3C32,11,3,128,68,138,200,68,138,200,1,0,1260
Array3C32,12,0,128,69,134,203,69,134,203,1,0,1260
Array3C32,12,1,128,68,69,73,68,69,73,1,0,1260
Array3C32,12,2,128,68,68,71,68,68,71,1,0,1260
Array3C32,12,3,128,69,128,190,69,128,190,1,0,1260
Array3C32,13,0,128,68,114,156,68,114,156,1,0,1260
Array3C32,13,1,128,68,138,202,68,138,202,1,0,1260
Array3C32,13,2,128,69,138,203,69,138,203,1,0,1260
Array3C32,13,3,128,68,69,74,68,69,74,1,0,1260
Array3C32,14,0,128,69,134,202,69,134,202,1,0,1260
Array3C32,14,1,128,69,134,205,69,134,205,1,0,1260
Array3C32,14,2,128,68,120,175,68,120,175,1,0,1260
Array3C32,14,3,128,69,69,75,69,69,75,1,0,1260
Array3C32,15,0,128,179,190,195,179,190,195,1,0,1260
Array3C32,15,1,128,71,150,273,71,150,273,1,0,1260
Array3C32,15,2,128,69,141,211,69,141,211,1,0,1260
Array3C32,15,3,128,68,69,72,68,69,72,1,0,1260
Array3C32,16,0,128,68,69,72,68,69,72,1,0,1260
Array3C32,16,1,128,69,69,72,69,69,72,1,0,1260
Array3C32,16,2,128,68,131,202,68,131,202,1,0,1260
Array3C32,16,3,128,69,137,214,69,137,214,1,0,1260
Array3C32,17,0,128,69,140,212,69,140,212,1,0,1260
Array3C32,17,1,128,68,89,109,68,89,109,1,0,1260
Array3C32,17,2,128,68,69,72,68,69,72,1,0,1260
Array3C32,17,3,128,68,69,71,68,69,71,1,0,1260
Array3C32,18,0,128,68,156,299,68,156,299,1,0,1260
Array3C32,18,1,128,68,74,80,68,74,80,1,0,1260
Array3C32,18,2,128,69,70,81,69,70,81,1,0,1260
Array3C32,18,3,128,68,70,81,68,70,81,1,0,1260
Array3C32,19,0,128,80,144,214,80,144,214,1,0,1260
Array3C32,19,1,128,69,139,247,69,139,247,3,0,1260
Array3C32,19,2,128,69,114,206,69,114,206,1,0,1260
Array3C32,19,3,128,69,108,162,69,108,162,1,0,1260
Array3C32,20,0,128,68,71,84,68,71,84,1,0,1260
Array3C32,20,1,128,68,70,80,68,70,80,1,0,1260
Array3C32,20,2,128,69,139,237,69,139,237,1,0,1260
Array3C32,20,3,128,69,71,86,69,71,86,1,0,1260
Array3C32,21,0,128,69,137,218,69,137,218,1,0,1260
Array3C32,21,1,128,68,71,84,68,71,84,1,0,1260
Array3C32,21,2,128,69,111,163,69,111,163,1,0,1260
Array3C32,21,3,128,68,135,239,68,135,239,1,0,1260
Array3C32,22,0,128,68,131,222,68,131,222,1,0,1260
Array3C32,22,1,128,68,139,235,68,139,235,1,0,1260
Array3C32,22,2,128,69,72,84,69,72,84,1,0,1260
Array3C32,22,3,128,69,70,82,69,70,82,1,0,1260
Array3C32,23,0,128,69,108,162,69,108,162,1,0,1260
Array3C32,23,1,128,68,133,210,68,133,210,1,0,1260
Array3C32,23,2,128,68,70,80,68,70,80,1,0,1260
Array3C32,23,3,128,69,136,237,69,136,237,1,0,1260
Array3C32,24,0,128,68,70,83,68,70,83,1,0,1260
Array3C32,24,1,128,68,70,80,68,70,80,1,0,1260
Array3C32,24,2,128,69,70,80,69,70,80,1,0,1260
Array3C32,24,3,128,68,70,82,68,70,82,1,0,1260
Array3C32,25,0,128,68,69,74,68,69,74,1,0,1260
Array3C32,25,1,128,68,136,211,68,136,211,1,0,1260
Array3C32,25,2,128,68,69,74,68,69,74,1,0,1260
Array3C32,25,3,128,68,69,72,68,69,72,1,0,1260
Array3C32,26,0,128,68,70,80,68,70,80,1,0,1260
Array3C32,26,1,128,68,70,78,68,70,78,1,0,1260
Array3C32,26,2,128,68,69,76,68,69,76,1,0,1260
Array3C32,26,3,128,68,70,74,68,70,74,1,0,1260
