alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ArrayAtomicF,1,0,128,42,42,42,37,37,37,303,51,644014
ArrayAtomicF,1,1,128,41,41,41,37,37,37,316,51,644014
ArrayAtomicF,1,2,128,40,40,40,37,37,37,315,50,644014
ArrayAtomicF,1,3,128,39,39,39,37,37,37,314,49,644014
TableF,1,0,128,39,39,39,37,37,37,315,49,644014
TableF,1,1,128,39,39,39,37,37,37,318,49,644014
TableF,1,2,128,40,40,40,37,37,37,317,50,644014
TableF,1,3,128,39,39,39,37,37,37,319,49,644014
ArrayAtomicD,1,0,128,65,65,65,36,36,36,630,65,645275
ArrayAtomicD,1,1,128,62,62,62,36,36,36,686,63,645275
ArrayAtomicD,1,2,128,62,62,62,36,36,36,683,63,645275
ArrayAtomicD,1,3,128,61,61,61,36,36,36,679,63,645275
TableD,1,0,128,62,62,62,36,36,36,680,64,645275
TableD,1,1,128,61,61,61,36,36,36,674,63,645275
TableD,1,2,128,61,61,61,36,36,36,675,63,645275
TableD,1,3,128,62,62,62,36,36,36,681,64,645275
ArrayAtomicF,2,0,128,39,40,41,44,44,45,299,55,644014
ArrayAtomicF,2,1,128,39,39,40,41,42,44,319,53,644014
ArrayAtomicF,2,2,128,39,39,40,44,44,44,320,54,644014
ArrayAtomicF,2,3,128,39,39,39,41,42,43,319,52,644014
TableF,2,0,128,38,38,39,42,42,43,320,53,644014
TableF,2,1,128,39,39,39,42,42,43,318,52,644014
TableF,2,2,128,38,38,39,42,42,42,316,53,644014
TableF,2,3,128,38,39,40,42,42,42,320,53,644014
ArrayAtomicD,2,0,128,62,62,62,42,43,44,684,69,645275
ArrayAtomicD,2,1,128,62,62,63,41,41,42,692,68,645275
ArrayAtomicD,2,2,128,63,63,63,41,43,45,680,69,645275
ArrayAtomicD,2,3,128,63,63,63,40,41,42,681,67,645275
TableD,2,0,128,63,63,63,41,41,41,682,68,645275
TableD,2,1,128,62,62,63,42,42,43,675,68,645275
TableD,2,2,128,62,62,63,41,42,43,675,68,645275
TableD,2,3,128,62,62,62,42,43,44,682,69,645275
ArrayAtomicF,3,0,128,40,40,42,46,46,47,298,57,644014
ArrayAtomicF,3,1,128,39,39,40,43,44,45,315,54,644014
ArrayAtomicF,3,2,128,39,39,40,47,47,48,315,56,644014
ArrayAtomicF,3,3,128,39,39,40,44,44,45,314,54,644014
TableF,3,0,128,38,38,39,45,45,46,314,54,644014
TableF,3,1,128,39,39,40,45,45,45,310,55,644014
TableF,3,2,128,38,38,39,44,44,44,314,54,644014
TableF,3,3,128,38,38,39,45,45,47,314,55,644014
ArrayAtomicD,3,0,128,63,63,65,49,51,54,683,75,645275
ArrayAtomicD,3,1,128,63,63,63,49,50,53,691,74,645275
ArrayAtomicD,3,2,128,63,63,64,50,51,55,680,75,645275
ArrayAtomicD,3,3,128,63,63,63,47,48,51,681,73,645275
TableD,3,0,128,63,63,64,43,46,50,682,72,645275
TableD,3,1,128,63,66,73,45,47,51,674,78,645275
TableD,3,2,128,63,63,64,45,47,50,674,72,645275
TableD,3,3,128,63,63,64,46,48,52,680,73,645275
ArrayAtomicF,4,0,128,39,40,42,46,47,48,299,57,644014
ArrayAtomicF,4,1,128,39,39,40,46,47,49,315,56,644014
ArrayAtomicF,4,2,128,39,39,40,45,46,48,315,56,644014
ArrayAtomicF,4,3,128,39,39,40,45,46,48,314,56,644014
TableF,4,0,128,39,39,40,46,46,46,317,56,644014
TableF,4,1,128,39,39,39,46,46,46,299,56,644014
TableF,4,2,128,38,38,39,46,46,46,304,56,644014
TableF,4,3,128,38,38,39,47,47,47,305,56,644014
ArrayAtomicD,4,0,128,65,65,66,72,72,73,679,90,645275
ArrayAtomicD,4,1,128,65,65,66,72,74,76,689,91,645275
ArrayAtomicD,4,2,128,64,64,65,70,71,72,680,89,645275
ArrayAtomicD,4,3,128,65,65,67,71,71,72,681,89,645275
TableD,4,0,128,65,65,67,70,70,72,681,89,645275
TableD,4,1,128,64,65,66,68,69,71,676,88,645275
TableD,4,2,128,64,64,66,66,68,69,673,86,645275
TableD,4,3,128,64,65,66,67,69,71,680,88,645275
ArrayAtomicF,5,0,128,39,40,42,50,51,53,298,60,644014
ArrayAtomicF,5,1,128,39,39,39,45,46,47,310,55,644014
ArrayAtomicF,5,2,128,39,39,40,47,48,50,311,58,644014
ArrayAtomicF,5,3,128,39,39,39,44,46,48,309,55,644014
TableF,5,0,128,39,39,40,47,50,52,306,59,644014
TableF,5,1,128,39,39,39,47,48,50,304,58,644014
TableF,5,2,128,38,39,40,48,49,51,304,59,644014
TableF,5,3,128,38,39,41,47,48,50,305,58,644014
ArrayAtomicD,5,0,128,68,78,85,71,78,85,678,106,645275
ArrayAtomicD,5,1,128,67,74,81,73,78,83,683,103,645275
ArrayAtomicD,5,2,128,68,75,80,74,78,84,678,102,645275
ArrayAtomicD,5,3,128,68,74,79,74,79,84,682,102,645275
TableD,5,0,128,67,72,77,63,73,79,674,98,645275
TableD,5,1,128,66,71,76,64,73,79,672,97,645275
TableD,5,2,128,68,72,77,71,76,81,677,99,645275
TableD,5,3,128,68,73,77,60,71,78,674,96,645275
ArrayAtomicF,6,0,128,39,40,42,48,48,49,297,58,644014
ArrayAtomicF,6,1,128,39,39,40,44,47,50,307,56,644014
ArrayAtomicF,6,2,128,39,39,40,49,49,50,307,59,644014
ArrayAtomicF,6,3,128,39,39,40,47,48,50,309,58,644014
TableF,6,0,128,39,39,39,49,50,51,308,60,644014
TableF,6,1,128,38,40,42,49,49,50,298,60,644014
TableF,6,2,128,38,39,41,46,47,49,296,58,644014
TableF,6,3,128,38,38,39,46,48,49,297,58,644014
ArrayAtomicD,6,0,128,75,91,107,86,95,103,686,130,645275
ArrayAtomicD,6,1,128,73,90,111,89,97,106,680,134,645275
ArrayAtomicD,6,2,128,77,91,105,89,97,106,678,131,645275
ArrayAtomicD,6,3,128,73,89,106,85,94,103,685,130,645275
TableD,6,0,128,75,90,107,85,94,103,676,130,645275
TableD,6,1,128,72,88,107,83,94,104,676,130,645275
TableD,6,2,128,74,88,103,81,91,100,679,126,645275
TableD,6,3,128,75,89,104,87,95,104,674,129,645275
ArrayAtomicF,7,0,128,39,39,43,52,52,53,299,62,644014
ArrayAtomicF,7,1,128,39,39,40,44,46,47,309,57,644014
ArrayAtomicF,7,2,128,39,39,41,52,52,53,301,61,644014
ArrayAtomicF,7,3,128,39,39,41,48,49,53,303,59,644014
TableF,7,0,128,39,39,40,43,48,50,303,60,644014
TableF,7,1,128,38,39,41,43,49,52,296,61,644014
TableF,7,2,128,39,39,41,50,52,53,294,63,644014
TableF,7,3,128,38,38,39,42,47,49,296,58,644014
ArrayAtomicD,7,0,128,80,102,118,86,102,114,681,143,645275
ArrayAtomicD,7,1,128,76,99,119,87,103,115,679,144,645275
ArrayAtomicD,7,2,128,79,100,116,85,102,115,688,141,645275
ArrayAtomicD,7,3,128,77,100,117,86,101,113,681,142,645275
TableD,7,0,128,76,97,115,79,98,111,679,138,645275
TableD,7,1,128,76,98,118,83,98,111,680,140,645275
TableD,7,2,128,79,100,114,84,100,113,673,139,645275
TableD,7,3,128,74,97,115,83,100,114,679,139,645275
ArrayAtomicF,8,0,128,39,40,44,48,50,51,297,61,644014
ArrayAtomicF,8,1,128,39,39,40,47,50,51,304,60,644014
ArrayAtomicF,8,2,128,39,39,40,47,49,50,303,59,644014
ArrayAtomicF,8,3,128,39,39,40,47,50,52,303,60,644014
TableF,8,0,128,39,39,39,49,50,52,304,63,644014
TableF,8,1,128,39,39,39,48,48,49,294,61,644014
TableF,8,2,128,39,40,42,44,49,53,294,62,644014
TableF,8,3,128,39,39,42,49,50,51,291,62,644014
ArrayAtomicD,8,0,128,97,122,148,112,125,139,680,177,645275
ArrayAtomicD,8,1,128,97,121,142,111,126,141,690,174,645275
ArrayAtomicD,8,2,128,97,120,143,109,124,138,684,172,645275
ArrayAtomicD,8,3,128,100,123,143,112,128,143,685,176,645275
TableD,8,0,128,95,118,141,101,119,134,686,168,645275
TableD,8,1,128,93,115,139,102,121,137,681,168,645275
TableD,8,2,128,95,117,138,102,120,136,689,167,645275
TableD,8,3,128,93,117,137,103,120,136,681,167,645275
ArrayAtomicF,9,0,128,39,40,46,52,55,58,299,65,644014
ArrayAtomicF,9,1,128,39,40,41,47,50,54,303,61,644014
ArrayAtomicF,9,2,128,39,40,41,49,53,56,303,64,644014
ArrayAtomicF,9,3,128,40,40,41,47,50,54,299,62,644014
TableF,9,0,128,39,39,41,50,52,56,301,66,644014
TableF,9,1,128,39,40,42,49,50,54,296,65,644014
TableF,9,2,128,39,39,41,48,50,53,296,64,644014
TableF,9,3,128,39,39,41,49,51,55,293,64,644014
ArrayAtomicD,9,0,128,100,133,157,112,135,153,693,191,645275
ArrayAtomicD,9,1,128,103,135,157,114,137,156,686,191,645275
ArrayAtomicD,9,2,128,101,131,156,112,137,156,688,189,645275
ArrayAtomicD,9,3,128,100,130,155,114,137,155,688,188,645275
TableD,9,0,128,96,125,147,108,129,146,684,178,645275
TableD,9,1,128,96,125,146,110,129,146,687,178,645275
TableD,9,2,128,100,126,146,106,128,146,682,177,645275
TableD,9,3,128,92,121,144,105,129,148,684,177,645275
ArrayAtomicF,10,0,128,40,40,43,45,51,54,299,64,644014
ArrayAtomicF,10,1,128,39,39,41,48,51,53,303,64,644014
ArrayAtomicF,10,2,128,40,40,41,45,51,54,302,63,644014
ArrayAtomicF,10,3,128,39,39,41,46,51,55,306,64,644014
TableF,10,0,128,40,40,42,50,54,58,303,68,644014
TableF,10,1,128,39,39,40,50,51,53,296,65,644014
TableF,10,2,128,39,40,45,50,52,54,294,67,644014
TableF,10,3,128,39,41,48,51,52,55,294,67,644014
ArrayAtomicD,10,0,128,130,160,187,132,155,176,686,221,645275
ArrayAtomicD,10,1,128,128,156,181,132,155,176,695,217,645275
ArrayAtomicD,10,2,128,122,147,173,138,157,177,687,214,645275
ArrayAtomicD,10,3,128,120,153,183,132,154,176,687,218,645275
TableD,10,0,128,116,143,169,123,145,166,686,203,645275
TableD,10,1,128,118,142,166,128,148,168,682,203,645275
TableD,10,2,128,113,140,167,124,145,166,689,202,645275
TableD,10,3,128,118,144,167,126,148,168,682,204,645275
ArrayAtomicF,11,0,128,39,41,48,47,51,54,298,66,644014
ArrayAtomicF,11,1,128,40,40,43,46,51,55,305,65,644014
ArrayAtomicF,11,2,128,40,40,41,48,53,58,302,67,644014
