alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ArrayAtomicF,1,0,128,629,629,629,629,629,629,158,405,644014
ArrayAtomicF,1,1,128,628,628,628,628,628,628,151,404,644014
ArrayAtomicF,1,2,128,628,628,628,628,628,628,152,404,644014
ArrayAtomicF,1,3,128,628,628,628,628,628,628,153,404,644014
TableF,1,0,128,627,627,627,627,627,627,153,404,644014
TableF,1,1,128,627,627,627,627,627,627,151,404,644014
TableF,1,2,128,627,627,627,627,627,627,150,404,644014
TableF,1,3,128,627,627,627,627,627,627,151,404,644014
ArrayAtomicD,1,0,128,865,865,865,865,865,865,443,558,645275
ArrayAtomicD,1,1,128,863,863,863,863,863,863,458,557,645275
ArrayAtomicD,1,2,128,863,863,863,863,863,863,439,557,645275
ArrayAtomicD,1,3,128,862,862,862,862,862,862,432,556,645275
TableD,1,0,128,869,869,869,869,869,869,427,560,645275
TableD,1,1,128,867,867,867,867,867,867,433,559,645275
TableD,1,2,128,865,865,865,865,865,865,455,558,645275
TableD,1,3,128,864,864,864,864,864,864,446,557,645275
ArrayAtomicF,2,0,128,648,675,703,648,675,703,147,434,644014
ArrayAtomicF,2,1,128,662,664,666,662,664,666,148,427,644014
ArrayAtomicF,2,2,128,680,709,738,680,709,738,148,456,644014
ArrayAtomicF,2,3,128,702,703,704,702,703,704,148,452,644014
TableF,2,0,128,701,712,724,701,712,724,149,458,644014
TableF,2,1,128,683,700,718,683,700,718,145,451,644014
TableF,2,2,128,707,718,729,707,718,729,146,462,644014
TableF,2,3,128,661,697,733,661,697,733,146,449,644014
ArrayAtomicD,2,0,128,1295,1332,1370,1295,1332,1370,412,860,645275
ArrayAtomicD,2,1,128,1242,1318,1394,1242,1318,1394,469,850,645275
ArrayAtomicD,2,2,128,1247,1317,1388,1247,1317,1388,448,850,645275
ArrayAtomicD,2,3,128,1292,1349,1406,1292,1349,1406,456,870,645275
TableD,2,0,128,1253,1298,1343,1253,1298,1343,458,837,645275
TableD,2,1,128,1324,1325,1327,1324,1325,1327,460,855,645275
TableD,2,2,128,1331,1371,1412,1331,1371,1412,461,884,645275
TableD,2,3,128,1228,1324,1420,1228,1324,1420,460,854,645275
ArrayAtomicF,3,0,128,611,630,642,611,630,642,155,406,644014
ArrayAtomicF,3,1,128,645,663,701,645,663,701,149,427,644014
ArrayAtomicF,3,2,128,631,643,659,631,643,659,150,414,644014
ArrayAtomicF,3,3,128,629,640,658,629,640,658,149,412,644014
TableF,3,0,128,713,732,743,713,732,743,148,471,644014
TableF,3,1,128,698,746,774,698,746,774,142,480,644014
TableF,3,2,128,677,706,739,677,706,739,144,455,644014
TableF,3,3,128,667,691,705,667,691,705,145,445,644014
ArrayAtomicD,3,0,128,1229,1295,1345,1229,1295,1345,448,835,645275
ArrayAtomicD,3,1,128,1247,1285,1308,1247,1285,1308,461,829,645275
ArrayAtomicD,3,2,128,1239,1299,1342,1239,1299,1342,460,838,645275
ArrayAtomicD,3,3,128,1204,1251,1292,1204,1251,1292,461,807,645275
TableD,3,0,128,1249,1305,1333,1249,1305,1333,459,842,645275
TableD,3,1,128,1266,1317,1370,1266,1317,1370,470,849,645275
TableD,3,2,128,1294,1408,1490,1294,1408,1490,460,908,645275
TableD,3,3,128,1424,1434,1440,1424,1434,1440,460,925,645275
ArrayAtomicF,4,0,128,637,694,740,637,694,740,158,447,644014
ArrayAtomicF,4,1,128,723,793,841,723,793,841,153,511,644014
ArrayAtomicF,4,2,128,670,703,746,670,703,746,154,452,644014
ArrayAtomicF,4,3,128,745,787,831,745,787,831,153,507,644014
TableF,4,0,128,735,761,803,735,761,803,153,490,644014
TableF,4,1,128,757,776,814,757,776,814,143,500,644014
TableF,4,2,128,751,774,819,751,774,819,144,498,644014
TableF,4,3,128,717,754,781,717,754,781,143,486,644014
ArrayAtomicD,4,0,128,1250,1317,1394,1250,1317,1394,426,849,645275
ArrayAtomicD,4,1,128,1280,1358,1437,1280,1358,1437,427,876,645275
ArrayAtomicD,4,2,128,1310,1357,1422,1310,1357,1422,436,876,645275
ArrayAtomicD,4,3,128,1239,1318,1398,1239,1318,1398,427,850,645275
TableD,4,0,128,1520,1586,1678,1520,1586,1678,425,1023,645275
TableD,4,1,128,1474,1570,1660,1474,1570,1660,434,1012,645275
TableD,4,2,128,1476,1531,1576,1476,1531,1576,429,988,645275
TableD,4,3,128,1502,1558,1624,1502,1558,1624,426,1005,645275
ArrayAtomicF,5,0,128,702,732,762,702,732,762,152,471,644014
ArrayAtomicF,5,1,128,707,727,754,707,727,754,152,468,644014
ArrayAtomicF,5,2,128,694,735,770,694,735,770,152,473,644014
ArrayAtomicF,5,3,128,702,724,745,702,724,745,151,466,644014
TableF,5,0,128,773,842,874,773,842,874,153,542,644014
TableF,5,1,128,734,769,789,734,769,789,141,495,644014
TableF,5,2,128,730,757,772,730,757,772,140,487,644014
TableF,5,3,128,740,766,783,740,766,783,141,493,644014
ArrayAtomicD,5,0,128,1431,1456,1473,1431,1456,1473,425,939,645275
ArrayAtomicD,5,1,128,1452,1485,1508,1452,1485,1508,426,958,645275
ArrayAtomicD,5,2,128,1428,1470,1497,1428,1470,1497,436,948,645275
ArrayAtomicD,5,3,128,1457,1475,1511,1457,1475,1511,426,951,645275
TableD,5,0,128,1781,1839,1891,1781,1839,1891,427,1186,645275
TableD,5,1,128,1673,1743,1787,1673,1743,1787,425,1124,645275
TableD,5,2,128,1759,1803,1874,1759,1803,1874,434,1164,645275
TableD,5,3,128,1784,1839,1910,1784,1839,1910,426,1186,645275
ArrayAtomicF,6,0,128,776,813,850,776,813,850,149,523,644014
ArrayAtomicF,6,1,128,776,811,845,776,811,845,157,522,644014
ArrayAtomicF,6,2,128,739,793,857,739,793,857,155,510,644014
ArrayAtomicF,6,3,128,756,794,829,756,794,829,154,511,644014
TableF,6,0,128,762,816,852,762,816,852,155,525,644014
TableF,6,1,128,740,803,861,740,803,861,144,517,644014
TableF,6,2,128,718,798,863,718,798,863,143,514,644014
TableF,6,3,128,729,800,850,729,800,850,141,515,644014
ArrayAtomicD,6,0,128,1694,1773,1864,1694,1773,1864,424,1143,645275
ArrayAtomicD,6,1,128,1613,1674,1751,1613,1674,1751,418,1080,645275
ArrayAtomicD,6,2,128,1680,1785,1879,1680,1785,1879,430,1151,645275
ArrayAtomicD,6,3,128,1587,1684,1752,1587,1684,1752,427,1087,645275
TableD,6,0,128,1852,2003,2118,1852,2003,2118,423,1292,645275
TableD,6,1,128,1890,2004,2104,1890,2004,2104,427,1293,645275
TableD,6,2,128,1886,2022,2166,1886,2022,2166,426,1304,645275
TableD,6,3,128,1955,2036,2120,1955,2036,2120,418,1313,645275
ArrayAtomicF,7,0,128,845,865,895,845,865,895,155,557,644014
ArrayAtomicF,7,1,128,839,852,887,839,852,887,159,549,644014
ArrayAtomicF,7,2,128,833,854,876,833,854,876,160,550,644014
ArrayAtomicF,7,3,128,830,852,901,830,852,901,156,548,644014
TableF,7,0,128,721,851,918,721,851,918,160,548,644014
TableF,7,1,128,847,938,1005,847,938,1005,144,604,644014
TableF,7,2,128,767,853,902,767,853,902,144,549,644014
TableF,7,3,128,699,831,903,699,831,903,146,535,644014
ArrayAtomicD,7,0,128,1918,2011,2123,1918,2011,2123,428,1298,645275
ArrayAtomicD,7,1,128,1911,1975,2037,1911,1975,2037,430,1274,645275
ArrayAtomicD,7,2,128,1983,2062,2112,1983,2062,2112,420,1330,645275
ArrayAtomicD,7,3,128,2014,2099,2167,2014,2099,2167,426,1354,645275
TableD,7,0,128,2189,2273,2406,2189,2273,2406,424,1466,645275
TableD,7,1,128,2018,2166,2249,2018,2166,2249,424,1397,645275
TableD,7,2,128,2076,2215,2300,2076,2215,2300,424,1429,645275
TableD,7,3,128,2214,2333,2418,2214,2333,2418,426,1505,645275
ArrayAtomicF,8,0,128,875,901,929,875,901,929,153,580,644014
ArrayAtomicF,8,1,128,876,926,970,876,926,970,159,596,644014
ArrayAtomicF,8,2,128,964,1026,1093,964,1026,1093,159,660,644014
ArrayAtomicF,8,3,128,971,1020,1086,971,1020,1086,160,657,644014
TableF,8,0,128,909,926,941,909,926,941,159,596,644014
TableF,8,1,128,864,912,962,864,912,962,149,587,644014
TableF,8,2,128,898,917,966,898,917,966,146,590,644014
TableF,8,3,128,869,909,937,869,909,937,147,585,644014
ArrayAtomicD,8,0,128,2113,2281,2419,2113,2281,2419,427,1472,645275
ArrayAtomicD,8,1,128,2173,2311,2456,2173,2311,2456,420,1491,645275
ArrayAtomicD,8,2,128,2176,2347,2496,2176,2347,2496,429,1514,645275
ArrayAtomicD,8,3,128,2032,2265,2407,2032,2265,2407,418,1461,645275
TableD,8,0,128,2172,2436,2641,2172,2436,2641,426,1571,645275
TableD,8,1,128,2181,2444,2652,2181,2444,2652,425,1577,645275
TableD,8,2,128,2231,2477,2667,2231,2477,2667,426,1598,645275
TableD,8,3,128,2133,2471,2704,2133,2471,2704,426,1594,645275
ArrayAtomicF,9,0,128,932,953,984,932,953,984,148,613,644014
ArrayAtomicF,9,1,128,916,940,979,916,940,979,156,605,644014
ArrayAtomicF,9,2,128,916,948,984,916,948,984,156,610,644014
ArrayAtomicF,9,3,128,922,948,985,922,948,985,159,610,644014
TableF,9,0,128,913,938,984,913,938,984,157,604,644014
TableF,9,1,128,926,946,987,926,946,987,147,609,644014
TableF,9,2,128,917,943,979,917,943,979,146,607,644014
TableF,9,3,128,927,952,984,927,952,984,148,613,644014
ArrayAtomicD,9,0,128,2414,2622,2770,2414,2622,2770,425,1692,645275
ArrayAtomicD,9,1,128,2351,2524,2652,2351,2524,2652,436,1628,645275
ArrayAtomicD,9,2,128,2365,2567,2704,2365,2567,2704,426,1656,645275
ArrayAtomicD,9,3,128,2385,2586,2747,2385,2586,2747,429,1668,645275
TableD,9,0,128,2452,2733,2942,2452,2733,2942,667,1763,645275
TableD,9,1,128,2453,2750,2966,2453,2750,2966,418,1774,645275
TableD,9,2,128,2527,2803,3003,2527,2803,3003,422,1808,645275
TableD,9,3,128,2399,2735,2916,2399,2735,2916,425,1765,645275
ArrayAtomicF,10,0,128,958,998,1036,958,998,1036,150,642,644014
ArrayAtomicF,10,1,128,926,970,1023,926,970,1023,158,624,644014
ArrayAtomicF,10,2,128,937,980,1022,937,980,1022,160,630,644014
ArrayAtomicF,10,3,128,925,970,1022,925,970,1022,157,624,644014
TableF,10,0,128,859,1000,1041,859,1000,1041,160,643,644014
TableF,10,1,128,835,981,1045,835,981,1045,147,632,644014
TableF,10,2,128,864,983,1042,864,983,1042,149,633,644014
TableF,10,3,128,919,997,1057,919,997,1057,150,642,644014
ArrayAtomicD,10,0,128,2758,2999,3216,2758,2999,3216,422,1935,645275
ArrayAtomicD,10,1,128,2649,2890,3135,2649,2890,3135,420,1865,645275
ArrayAtomicD,10,2,128,2724,2968,3203,2724,2968,3203,411,1915,645275
ArrayAtomicD,10,3,128,2668,2931,3146,2668,2931,3146,405,1891,645275
TableD,10,0,128,2905,3146,3375,2905,3146,3375,421,2030,645275
TableD,10,1,128,2919,3156,3385,2919,3156,3385,427,2036,645275
TableD,10,2,128,2922,3152,3391,2922,3152,3391,424,2034,645275
TableD,10,3,128,2784,3067,3310,2784,3067,3310,424,1979,645275
