alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
ArrayAtomicF,1,0,128,36,36,36,36,36,36,160,0,1257
ArrayAtomicF,1,1,128,36,36,36,36,36,36,153,0,1257
ArrayAtomicF,1,2,128,36,36,36,36,36,36,153,0,1257
ArrayAtomicF,1,3,128,36,36,36,36,36,36,153,0,1257
TableF,1,0,128,36,36,36,36,36,36,153,0,1257
TableF,1,1,128,37,37,37,37,37,37,153,0,1257
TableF,1,2,128,37,37,37,37,37,37,153,0,1257
TableF,1,3,128,36,36,36,36,36,36,153,0,1257
ArrayAtomicD,1,0,128,121,121,121,121,121,121,448,0,1260
ArrayAtomicD,1,1,128,121,121,121,121,121,121,430,0,1260
ArrayAtomicD,1,2,128,119,119,119,119,119,119,431,0,1260
ArrayAtomicD,1,3,128,127,127,127,127,127,127,429,0,1260
TableD,1,0,128,108,108,108,108,108,108,425,0,1260
TableD,1,1,128,107,107,107,107,107,107,428,0,1260
TableD,1,2,128,108,108,108,108,108,108,429,0,1260
TableD,1,3,128,108,108,108,108,108,108,425,0,1260
ArrayAtomicF,2,0,128,39,69,100,39,69,100,152,0,1257
ArrayAtomicF,2,1,128,36,68,100,36,68,100,153,0,1257
ArrayAtomicF,2,2,128,36,68,100,36,68,100,153,0,1257
ArrayAtomicF,2,3,128,36,68,100,36,68,100,153,0,1257
TableF,2,0,128,36,36,36,36,36,36,153,0,1257
TableF,2,1,128,36,69,102,36,69,102,153,0,1257
TableF,2,2,128,37,68,100,37,68,100,153,0,1257
TableF,2,3,128,37,69,101,37,69,101,154,0,1257
ArrayAtomicD,2,0,128,125,132,140,125,132,140,433,0,1260
ArrayAtomicD,2,1,128,122,212,303,122,212,303,430,0,1260
ArrayAtomicD,2,2,128,121,129,137,121,129,137,427,0,1260
ArrayAtomicD,2,3,128,127,217,307,127,217,307,426,0,1260
TableD,2,0,128,108,108,109,108,108,109,429,0,1260
TableD,2,1,128,108,202,296,108,202,296,428,0,1260
TableD,2,2,128,107,201,296,107,201,296,428,0,1260
TableD,2,3,128,114,212,310,114,212,310,428,0,1260
ArrayAtomicF,3,0,128,50,83,101,50,83,101,153,0,1257
ArrayAtomicF,3,1,128,36,36,37,36,36,37,153,0,1257
ArrayAtomicF,3,2,128,36,36,36,36,36,36,153,0,1257
ArrayAtomicF,3,3,128,36,41,51,36,41,51,153,0,1257
TableF,3,0,128,36,57,100,36,57,100,153,0,1257
TableF,3,1,128,36,36,37,36,36,37,153,0,1257
TableF,3,2,128,36,42,54,36,42,54,153,0,1257
TableF,3,3,128,36,41,52,36,41,52,153,0,1257
ArrayAtomicD,3,0,128,122,124,129,122,124,129,428,0,1260
ArrayAtomicD,3,1,128,121,182,304,121,182,304,428,0,1260
ArrayAtomicD,3,2,128,120,123,131,120,123,131,431,0,1260
ArrayAtomicD,3,3,128,115,188,314,115,188,314,424,0,1260
TableD,3,0,128,108,112,122,108,112,122,428,0,1260
TableD,3,1,128,107,175,301,107,175,301,424,0,1260
TableD,3,2,128,109,109,110,109,109,110,429,0,1260
TableD,3,3,128,110,174,302,110,174,302,426,0,1260
ArrayAtomicF,4,0,128,37,69,102,37,69,102,153,0,1257
ArrayAtomicF,4,1,128,36,36,37,36,36,37,153,0,1257
ArrayAtomicF,4,2,128,36,43,50,36,43,50,154,0,1257
ArrayAtomicF,4,3,128,36,37,39,36,37,39,154,0,1257
TableF,4,0,128,36,69,101,36,69,101,154,0,1257
TableF,4,1,128,36,36,37,36,36,37,154,0,1257
TableF,4,2,128,36,68,101,36,68,101,154,0,1257
TableF,4,3,128,36,69,106,36,69,106,154,0,1257
ArrayAtomicD,4,0,128,113,124,129,113,124,129,451,0,1260
ArrayAtomicD,4,1,128,121,128,136,121,128,136,428,0,1260
ArrayAtomicD,4,2,128,121,218,310,121,218,310,426,0,1260
ArrayAtomicD,4,3,128,121,220,320,121,220,320,424,0,1260
TableD,4,0,128,109,203,298,109,203,298,428,0,1260
TableD,4,1,128,108,202,298,108,202,298,428,0,1260
TableD,4,2,128,107,113,130,107,113,130,426,0,1260
TableD,4,3,128,115,115,116,115,115,116,429,0,1260
ArrayAtomicF,5,0,128,36,63,101,36,63,101,153,0,1257
ArrayAtomicF,5,1,128,36,63,106,36,63,106,154,0,1257
ArrayAtomicF,5,2,128,36,63,106,36,63,106,154,0,1257
ArrayAtomicF,5,3,128,36,63,105,36,63,105,154,0,1257
TableF,5,0,128,36,66,111,36,66,111,154,0,1257
TableF,5,1,128,36,36,37,36,36,37,154,0,1257
TableF,5,2,128,36,36,37,36,36,37,155,0,1257
TableF,5,3,128,36,64,108,36,64,108,155,0,1257
ArrayAtomicD,5,0,128,123,132,144,123,132,144,422,0,1260
ArrayAtomicD,5,1,128,120,201,314,120,201,314,427,0,1260
