alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,32,147,147,147,91,91,91,0,0,255
Array3C32,1,1,32,119,119,119,49,49,49,0,0,255
Array3C32,1,2,32,116,116,116,84,84,84,0,0,255
Array3C32,1,3,32,116,116,116,83,83,83,0,0,255
Array3C32,2,0,32,55,87,119,37,61,85,0,0,255
Array3C32,2,1,32,44,86,128,34,60,86,0,0,255
Array3C32,2,2,32,43,64,85,31,32,34,0,0,255
Array3C32,2,3,32,48,86,125,34,60,87,0,0,255
Array3C32,4,0,32,46,96,150,36,72,110,0,0,255
Array3C32,4,1,32,44,90,132,31,78,120,0,0,255
Array3C32,4,2,32,44,88,126,32,71,106,0,0,255
Array3C32,4,3,32,43,86,126,32,71,109,0,0,255
Array3C32,8,0,32,45,84,124,35,43,53,0,0,255
Array3C32,8,1,32,48,93,130,36,78,125,0,0,255
Array3C32,8,2,32,46,88,128,37,76,123,0,0,255
Array3C32,8,3,32,44,87,130,36,68,114,0,0,255
Array3C32,16,0,32,56,134,303,41,71,114,0,0,255
Array3C32,16,1,32,54,127,231,34,70,119,0,0,255
Array3C32,16,2,32,54,77,96,34,40,51,0,0,255
Array3C32,16,3,32,55,74,96,35,41,48,0,0,255
Array3C32,24,0,32,77,160,191,32,48,69,0,0,255
Array3C32,24,1,32,57,137,181,32,39,51,0,0,255
Array3C32,24,2,32,50,224,377,36,72,122,0,0,255
Array3C32,24,3,32,55,147,194,31,43,53,0,0,255
Array3C32,32,0,32,157,265,403,30,73,117,0,0,255
Array3C32,32,1,32,90,263,399,34,75,127,0,0,255
Array3C32,32,2,32,59,268,396,37,73,126,0,0,255
Array3C32,32,3,32,58,182,216,32,47,68,0,0,255
