alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,63,63,63,53,53,53,1,2,43687
Array3C32,1,1,128,55,55,55,53,53,53,2,2,43687
Array3C32,1,2,128,62,62,62,61,61,61,1,2,43687
Array3C32,1,3,128,61,61,61,53,53,53,1,2,43687
Array3C32,2,0,128,54,58,63,227,228,229,1,9,43687
Array3C32,2,1,128,53,53,53,219,221,223,1,9,43687
Array3C32,2,2,128,52,52,53,226,227,228,1,9,43687
Array3C32,2,3,128,53,54,55,224,224,225,1,9,43687
Array3C32,4,0,128,54,54,55,290,294,298,1,12,43687
Array3C32,4,1,128,52,53,54,288,292,296,1,12,43687
Array3C32,4,2,128,52,52,53,297,299,302,1,12,43687
Array3C32,4,3,128,52,56,61,290,292,296,1,12,43687
Array3C32,8,0,128,54,55,58,388,393,397,1,16,43687
Array3C32,8,1,128,52,53,55,388,398,405,1,16,43687
Array3C32,8,2,128,52,52,53,393,400,407,1,17,43687
Array3C32,8,3,128,52,57,62,392,400,406,1,17,43687
Array3C32,16,0,128,56,58,60,697,732,756,1,31,43687
Array3C32,16,1,128,52,53,55,699,730,752,1,31,43687
Array3C32,16,2,128,52,52,54,690,735,763,1,31,43687
Array3C32,16,3,128,52,58,65,702,730,754,1,31,43687
Array3C32,24,0,128,55,57,60,703,759,801,1,32,43687
Array3C32,24,1,128,51,56,61,712,777,817,1,33,43687
Array3C32,24,2,128,53,57,61,743,800,840,1,34,43687
Array3C32,24,3,128,55,59,65,738,779,815,1,33,43687
