alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,1,0,128,92,92,92,92,92,92,1,8,87375
Array3C32,1,1,128,92,92,92,92,92,92,2,8,87375
Array3C32,1,2,128,92,92,92,92,92,92,1,8,87375
Array3C32,1,3,128,91,91,91,91,91,91,1,8,87375
Array3C32,2,0,128,91,92,93,91,92,93,1,8,87375
Array3C32,2,1,128,92,92,92,92,92,92,1,8,87375
Array3C32,2,2,128,92,92,93,92,92,93,1,8,87375
Array3C32,2,3,128,91,91,91,91,91,91,1,7,87375
Array3C32,4,0,128,91,93,96,91,93,96,1,8,87375
Array3C32,4,1,128,91,93,96,91,93,96,2,8,87375
Array3C32,4,2,128,90,94,100,90,94,100,1,7,87375
Array3C32,4,3,128,90,93,96,90,93,96,1,7,87375
Array3C32,8,0,128,91,91,93,91,91,93,1,7,87375
Array3C32,8,1,128,91,96,101,91,96,101,1,7,87375
Array3C32,8,2,128,91,93,95,91,93,95,1,7,87375
Array3C32,8,3,128,91,91,93,91,91,93,1,7,87375
Array3C32,16,0,128,91,91,95,91,91,95,1,7,87375
Array3C32,16,1,128,91,92,95,91,92,95,1,8,87375
Array3C32,16,2,128,90,91,95,90,91,95,1,7,87375
Array3C32,16,3,128,91,94,100,91,94,100,1,8,87375
Array3C32,24,0,128,91,91,93,91,91,93,1,7,87375
Array3C32,24,1,128,91,91,97,91,91,97,1,8,87375
Array3C32,24,2,128,91,94,98,91,94,98,1,8,87375
Array3C32,24,3,128,90,91,94,90,91,94,1,7,87375
