alloc,x,iteration,memory,get_min,get_avg,get_max,put_min,put_avg,put_max,init,total,allocs
Array3C32,0,0,1,46,47,48,42,42,44,0,0,327
Array3C32,0,1,1,46,49,51,42,44,47,0,0,327
Array3C32,0,2,1,46,46,48,42,42,44,0,0,327
Array3C32,0,3,1,46,49,52,42,44,47,0,0,327
Array3C32,10,0,1,45,45,46,42,42,42,0,0,327
Array3C32,10,1,1,46,46,46,42,42,42,0,0,327
Array3C32,10,2,1,46,46,46,42,42,42,0,0,327
Array3C32,10,3,1,45,45,46,42,42,43,0,0,327
Array3C32,20,0,1,46,46,47,42,42,43,0,0,327
Array3C32,20,1,1,46,46,46,42,42,42,0,0,327
Array3C32,20,2,1,45,45,46,42,42,42,0,0,327
Array3C32,20,3,1,46,51,58,42,46,53,0,0,327
Array3C32,30,0,1,46,51,57,42,47,53,0,0,327
Array3C32,30,1,1,46,49,52,42,45,50,0,0,327
Array3C32,30,2,1,46,48,52,42,44,47,0,0,327
Array3C32,30,3,1,46,46,47,42,42,42,0,0,327
Array3C32,40,0,1,46,49,52,42,44,47,0,0,327
Array3C32,40,1,1,46,48,51,42,44,46,0,0,327
Array3C32,40,2,1,45,46,47,42,42,42,0,0,327
Array3C32,40,3,1,45,45,46,42,42,42,0,0,327
Array3C32,50,0,1,46,46,46,42,42,42,0,0,327
Array3C32,50,1,1,45,46,48,42,42,44,0,0,327
Array3C32,50,2,1,46,46,47,42,42,42,0,0,327
Array3C32,50,3,1,46,49,52,42,44,49,0,0,327
Array3C32,60,0,1,46,46,46,42,43,45,0,0,327
Array3C32,60,1,1,45,45,46,42,42,42,0,0,327
Array3C32,60,2,1,46,46,46,42,42,42,0,0,327
Array3C32,60,3,1,46,48,52,42,44,47,0,0,327
Array3C32,70,0,1,49,52,55,42,44,46,0,0,327
Array3C32,70,1,1,49,51,54,42,44,46,0,0,327
Array3C32,70,2,1,49,49,50,42,42,42,0,0,327
Array3C32,70,3,1,49,49,49,42,42,43,0,0,327
Array3C32,80,0,1,46,46,46,42,42,42,0,0,327
Array3C32,80,1,1,46,47,50,42,44,46,0,0,327
Array3C32,80,2,1,46,48,52,42,44,46,0,0,327
Array3C32,80,3,1,45,45,46,42,42,42,0,0,327
Array3C32,90,0,1,47,51,56,42,46,51,0,0,327
Array3C32,90,1,1,47,47,48,42,42,43,0,0,327
Array3C32,90,2,1,47,47,47,42,42,42,0,0,327
Array3C32,90,3,1,47,51,57,42,46,50,0,0,327
Array3C32,99,0,1,67,73,79,238,260,287,0,0,327
Array3C32,99,1,1,69,72,77,207,231,247,0,0,327
Array3C32,99,2,1,57,65,72,171,206,220,0,0,327
Array3C32,99,3,1,59,69,77,169,200,216,0,0,327
