order,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max
9,1,0,2520,2756,2756,2756,457,457,457
9,1,1,2520,2614,2614,2614,442,442,442
9,1,2,2520,2533,2533,2533,437,437,437
9,1,3,2520,2558,2558,2558,439,439,439
9,2,0,2520,5433,5436,5439,501,507,514
9,2,1,2520,5418,5418,5419,496,496,496
9,2,2,2520,5328,5330,5332,517,518,519
9,2,3,2520,5394,5394,5395,495,495,495
9,3,0,2520,8218,8221,8225,542,543,544
9,3,1,2520,8191,8192,8194,551,551,552
9,3,2,2520,8126,8136,8150,545,546,548
9,3,3,2520,8228,8230,8232,581,583,584
9,4,0,2520,11041,11051,11058,692,692,693
9,4,1,2520,11153,11157,11161,594,595,596
9,4,2,2520,11160,11163,11166,605,605,606
9,4,3,2520,11189,11194,11198,608,609,610
9,5,0,2520,13986,13997,14006,833,849,854
9,5,1,2520,13987,13996,14006,820,826,829
9,5,2,2520,14007,14013,14018,833,836,839
9,5,3,2520,14023,14033,14040,834,836,837
9,6,0,2520,16760,16764,16767,1018,1022,1025
9,6,1,2520,16636,16645,16658,1088,1112,1124
9,6,2,2520,16746,16752,16761,1120,1133,1137
9,6,3,2520,16739,16748,16753,1165,1167,1169
9,7,0,2520,19571,19580,19590,1289,1311,1324
9,7,1,2520,19575,19582,19589,1374,1377,1380
9,7,2,2520,19617,19625,19633,1321,1324,1326
9,7,3,2520,19610,19619,19626,1300,1302,1304
9,8,0,2520,22285,22299,22312,1467,1484,1495
9,8,1,2520,22459,22469,22479,1272,1288,1293
9,8,2,2520,22499,22505,22513,1298,1302,1305
9,8,3,2520,22498,22508,22518,1297,1299,1301
9,9,0,2520,25340,25351,25361,1495,1500,1503
9,9,1,2520,25236,25256,25270,1709,1714,1716
9,9,2,2520,25244,25256,25264,1662,1677,1683
9,9,3,2520,25259,25271,25279,1679,1683,1686
9,10,0,2520,28111,28122,28133,1840,1864,1878
9,10,1,2520,28181,28194,28205,1600,1618,1623
9,10,2,2520,28157,28166,28176,1597,1617,1623
9,10,3,2520,28221,28231,28241,1591,1610,1614
9,11,0,2520,31069,31079,31092,1801,1808,1811
9,11,1,2520,30869,30902,30922,2028,2048,2057
9,11,2,2520,30910,30922,30935,2071,2076,2079
9,11,3,2520,30933,30947,30960,2087,2090,2093
9,12,0,2520,33679,33691,33705,2338,2342,2345
9,12,1,2520,33774,33793,33809,1892,1915,1920
9,12,2,2520,33747,33758,33771,1889,1895,1903
9,12,3,2520,33771,33792,33809,1871,1874,1878
9,13,0,2520,36653,36668,36684,2111,2119,2129
9,13,1,2520,36499,36513,36528,2368,2389,2400
9,13,2,2520,36501,36512,36527,2372,2382,2389
9,13,3,2520,36535,36547,36561,2405,2416,2426
9,14,0,1260,40033,40062,40093,2250,2286,2323
9,14,1,1260,39255,39314,39357,2179,2195,2208
9,14,2,1260,39272,39300,39330,2149,2168,2185
9,14,3,1260,39272,39306,39338,2091,2149,2173
9,15,0,1260,42042,42070,42105,2311,2332,2351
9,15,1,1260,42067,42107,42141,2314,2328,2340
9,15,2,1260,42008,42037,42071,2269,2327,2358
9,15,3,1260,42020,42051,42083,2291,2316,2327
9,16,0,1260,44827,44872,44914,2474,2504,2522
9,16,1,1260,44827,44863,44901,2401,2489,2520
9,16,2,1260,44842,44873,44907,2510,2569,2581
9,16,3,1260,44800,44832,44865,2463,2537,2554
9,17,0,1260,47700,47737,47776,2665,2719,2737
9,17,1,1260,47635,47672,47712,2612,2652,2671
9,17,2,1260,47777,47811,47846,2645,2689,2707
9,17,3,1260,47686,47722,47760,2663,2710,2728
9,18,0,1260,50523,50563,50601,2857,2920,2930
9,18,1,1260,50615,50658,50700,2902,2915,2919
9,18,2,1260,50586,50622,50659,2829,2904,2918
9,18,3,1260,50561,50598,50635,2906,2932,2939
9,19,0,1260,53433,53472,53521,3082,3111,3118
9,19,1,1260,53399,53440,53483,2989,3027,3047
9,19,2,1260,53376,53422,53458,3009,3051,3069
9,19,3,1260,53322,53361,53401,2918,2979,3017
9,20,0,1260,56303,56347,56392,3059,3165,3209
9,20,1,1260,56229,56270,56313,3129,3192,3223
9,20,2,1260,56231,56272,56314,3081,3159,3196
9,20,3,1260,56154,56201,56246,3071,3157,3197
9,21,0,1260,58990,59039,59086,3357,3409,3429
9,21,1,1260,59002,59051,59099,3334,3366,3386
9,21,2,1260,59049,59092,59137,3166,3322,3369
9,21,3,1260,59036,59079,59123,3206,3350,3396
9,22,0,1260,61863,61914,61967,3519,3583,3600
9,22,1,1260,61885,61935,61985,3400,3521,3560
9,22,2,1260,61879,61924,61970,3356,3499,3543
9,22,3,1260,61828,61873,61920,3352,3502,3544
9,23,0,1260,64723,64771,64823,3648,3705,3735
9,23,1,1260,64667,64717,64770,3535,3655,3704
9,23,2,1260,64755,64803,64852,3513,3646,3688
9,23,3,1260,64723,64773,64823,3693,3711,3726
9,24,0,1260,67497,67550,67605,3737,3866,3904
9,24,1,1260,67531,67592,67646,3887,3954,3965
9,24,2,1260,67614,67667,67718,3783,3857,3894
9,24,3,1260,67516,67571,67624,3757,3828,3867
9,25,0,1260,70422,70480,70537,4020,4096,4119
9,25,1,1260,70413,70470,70526,4007,4052,4068
9,25,2,1260,70328,70380,70433,4009,4039,4063
9,25,3,1260,70353,70401,70458,3802,3994,4048
9,26,0,1260,73146,73200,73260,4215,4295,4317
9,26,1,1260,72931,72984,73039,4870,4925,4969
9,26,2,1260,72778,72875,72932,5055,5126,5141
9,26,3,1260,72877,72952,73009,4663,4874,4943
