order,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max
0,1,0,524288,121,121,121,121,121,121
0,1,1,524288,120,120,120,120,120,120
0,1,2,524288,120,120,120,120,120,120
0,1,3,524288,120,120,120,120,120,120
0,2,0,524288,121,122,124,121,122,124
0,2,1,524288,120,120,121,120,120,121
0,2,2,524288,120,120,121,120,120,121
0,2,3,524288,121,122,123,121,122,123
0,4,0,524288,120,120,121,120,120,121
0,4,1,524288,119,120,121,119,120,121
0,4,2,524288,120,120,121,120,120,121
0,4,3,524288,119,119,120,119,119,120
0,8,0,524288,120,120,121,120,120,121
0,8,1,524288,120,120,121,120,120,121
0,8,2,524288,120,129,188,120,129,188
0,8,3,524288,120,129,197,120,129,197
0,16,0,524288,119,120,125,119,120,125
0,16,1,524288,119,121,123,119,121,123
0,16,2,524288,119,126,215,119,126,215
0,16,3,524288,119,120,122,119,120,122
0,24,0,524288,119,120,122,119,120,122
0,24,1,524288,119,124,221,119,124,221
0,24,2,524288,119,120,123,119,120,123
0,24,3,524288,120,120,122,120,120,122
0,32,0,524288,120,121,124,120,121,124
0,32,1,524288,119,120,122,119,120,122
0,32,2,524288,119,122,204,119,122,204
0,32,3,524288,119,120,129,119,120,129
