order,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max
9,1,0,1024,492,492,492,644,644,644
9,1,1,1024,435,435,435,596,596,596
9,1,2,1024,3758,3758,3758,599,599,599
9,1,3,1024,791,791,791,593,593,593
9,2,0,1024,507,591,676,579,806,1034
9,2,1,1024,701,742,783,592,622,652
9,2,2,1024,326,607,889,618,963,1309
9,2,3,1024,401,592,784,590,612,634
9,4,0,1024,347,400,469,607,663,690
9,4,1,1024,410,760,906,581,625,650
9,4,2,1024,551,758,917,575,625,655
9,4,3,1024,502,729,812,641,649,654
9,8,0,1024,498,677,895,607,649,682
9,8,1,1024,387,967,1118,629,652,662
9,8,2,1024,956,1112,1216,655,756,1446
9,8,3,1024,387,679,964,651,737,1279
9,16,0,1024,535,951,1419,670,745,1237
9,16,1,1024,435,2126,10090,649,1008,1629
9,16,2,1024,528,972,1393,659,745,1239
9,16,3,1024,441,973,1393,644,740,1253
9,24,0,1024,406,718,1210,660,834,1240
9,24,1,1024,457,1371,2219,660,813,1261
9,24,2,1024,553,1252,2001,651,804,1265
9,24,3,1024,475,1457,2296,649,831,1243
9,32,0,1024,386,1040,2140,649,828,1215
9,32,1,1024,492,1240,2082,664,832,1227
9,32,2,1024,525,1268,2222,654,782,1267
9,32,3,1024,481,1108,1847,669,892,1352
