order,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max
9,1,0,1024,675,675,675,675,675,675
9,1,1,1024,605,605,605,605,605,605
9,1,2,1024,637,637,637,637,637,637
9,1,3,1024,617,617,617,617,617,617
9,2,0,1024,737,931,1125,737,931,1125
9,2,1,1024,716,839,963,716,839,963
9,2,2,1024,737,878,1020,737,878,1020
9,2,3,1024,705,722,740,705,722,740
9,4,0,1024,744,887,1021,744,887,1021
9,4,1,1024,742,940,1139,742,940,1139
9,4,2,1024,736,866,1030,736,866,1030
9,4,3,1024,737,1084,1459,737,1084,1459
9,8,0,1024,797,1036,1186,797,1036,1186
9,8,1,1024,779,1015,1119,779,1015,1119
9,8,2,1024,780,1120,1290,780,1120,1290
9,8,3,1024,713,734,788,713,734,788
9,16,0,1024,806,1008,1052,806,1008,1052
9,16,1,1024,706,737,850,706,737,850
9,16,2,1024,817,955,985,817,955,985
9,16,3,1024,827,1274,1352,827,1274,1352
9,24,0,1024,856,1140,1683,856,1140,1683
9,24,1,1024,844,1156,1682,844,1156,1682
9,24,2,1024,710,783,1301,710,783,1301
9,24,3,1024,707,780,1303,707,780,1303
9,32,0,1024,856,1174,1612,856,1174,1612
9,32,1,1024,854,1217,1654,854,1217,1654
9,32,2,1024,872,1522,1986,872,1522,1986
9,32,3,1024,875,1628,2087,875,1628,2087
