order,x,iteration,allocs,get_min,get_avg,get_max,put_min,put_avg,put_max
9,1,0,1260,399,399,399,399,399,399
9,1,1,1260,413,413,413,413,413,413
9,1,2,1260,395,395,395,395,395,395
9,1,3,1260,400,400,400,400,400,400
9,2,0,1260,397,398,399,397,398,399
9,2,1,1260,394,395,396,394,395,396
9,2,2,1260,396,396,397,396,396,397
9,2,3,1260,391,394,398,391,394,398
9,3,0,1260,399,400,403,399,400,403
9,3,1,1260,391,398,402,391,398,402
9,3,2,1260,395,400,406,395,400,406
9,3,3,1260,395,397,401,395,397,401
9,4,0,1260,395,399,401,395,399,401
9,4,1,1260,397,399,404,397,399,404
9,4,2,1260,394,398,404,394,398,404
9,4,3,1260,402,403,407,402,403,407
9,5,0,1260,392,396,403,392,396,403
9,5,1,1260,400,403,411,400,403,411
9,5,2,1260,398,399,402,398,399,402
9,5,3,1260,394,397,401,394,397,401
9,6,0,1260,390,395,400,390,395,400
9,6,1,1260,391,394,399,391,394,399
9,6,2,1260,399,401,404,399,401,404
9,6,3,1260,395,396,397,395,396,397
9,7,0,1260,393,396,400,393,396,400
9,7,1,1260,392,395,399,392,395,399
9,7,2,1260,388,394,399,388,394,399
9,7,3,1260,391,398,408,391,398,408
9,8,0,1260,392,395,401,392,395,401
9,8,1,1260,402,405,412,402,405,412
9,8,2,1260,399,400,402,399,400,402
9,8,3,1260,395,398,403,395,398,403
9,9,0,1260,389,396,410,389,396,410
9,9,1,1260,393,396,401,393,396,401
9,9,2,1260,392,397,402,392,397,402
9,9,3,1260,393,396,400,393,396,400
9,10,0,1260,401,404,409,401,404,409
9,10,1,1260,392,396,403,392,396,403
9,10,2,1260,391,396,399,391,396,399
9,10,3,1260,395,397,402,395,397,402
9,11,0,1260,391,398,407,391,398,407
9,11,1,1260,393,398,403,393,398,403
9,11,2,1260,392,397,404,392,397,404
9,11,3,1260,404,408,415,404,408,415
9,12,0,1260,398,400,407,398,400,407
9,12,1,1260,395,397,402,395,397,402
9,12,2,1260,391,396,401,391,396,401
9,12,3,1260,392,395,399,392,395,399
9,13,0,1260,393,396,404,393,396,404
9,13,1,1260,396,399,405,396,399,405
9,13,2,1260,399,404,409,399,404,409
9,13,3,1260,391,395,399,391,395,399
9,14,0,1260,393,396,401,393,396,401
9,14,1,1260,390,397,405,390,397,405
9,14,2,1260,391,397,402,391,397,402
9,14,3,1260,399,402,407,399,402,407
9,15,0,1260,395,399,409,395,399,409
9,15,1,1260,402,407,412,402,407,412
9,15,2,1260,393,397,401,393,397,401
9,15,3,1260,399,401,406,399,401,406
9,16,0,1260,392,396,404,392,396,404
9,16,1,1260,394,397,401,394,397,401
9,16,2,1260,392,396,402,392,396,402
9,16,3,1260,391,396,405,391,396,405
9,17,0,1260,407,411,415,407,411,415
9,17,1,1260,399,402,409,399,402,409
9,17,2,1260,393,397,407,393,397,407
9,17,3,1260,392,397,404,392,397,404
9,18,0,1260,400,403,408,400,403,408
9,18,1,1260,391,396,401,391,396,401
9,18,2,1260,396,399,404,396,399,404
9,18,3,1260,399,406,413,399,406,413
9,19,0,1260,393,397,403,393,397,403
9,19,1,1260,390,396,403,390,396,403
9,19,2,1260,392,396,402,392,396,402
9,19,3,1260,395,399,408,395,399,408
9,20,0,1260,393,397,402,393,397,402
9,20,1,1260,398,401,409,398,401,409
9,20,2,1260,394,403,413,394,403,413
9,20,3,1260,396,399,404,396,399,404
9,21,0,1260,411,412,415,411,412,415
9,21,1,1260,407,409,412,407,409,412
9,21,2,1260,396,401,404,396,401,404
9,21,3,1260,392,397,404,392,397,404
9,22,0,1260,406,414,422,406,414,422
9,22,1,1260,391,397,403,391,397,403
9,22,2,1260,393,398,405,393,398,405
9,22,3,1260,393,397,404,393,397,404
9,23,0,1260,400,403,410,400,403,410
9,23,1,1260,397,401,408,397,401,408
9,23,2,1260,396,399,404,396,399,404
9,23,3,1260,407,412,423,407,412,423
9,24,0,1260,396,401,404,396,401,404
9,24,1,1260,397,401,408,397,401,408
9,24,2,1260,395,399,404,395,399,404
9,24,3,1260,392,397,406,392,397,406
9,25,0,1260,401,406,413,401,406,413
9,25,1,1260,397,401,409,397,401,409
9,25,2,1260,409,413,417,409,413,417
9,25,3,1260,395,400,406,395,400,406
9,26,0,1260,392,397,406,392,397,406
9,26,1,1260,399,402,408,399,402,408
9,26,2,1260,393,398,404,393,398,404
9,26,3,1260,394,398,404,394,398,404
