x,iteration,mem,map,amin,aavg,amax,fmin,favg,fmax,unmap
1,0,64,0,28016,28016,28016,3486,3486,3486,26
1,1,64,0,28079,28079,28079,3484,3484,3484,26
1,2,64,0,27811,27811,27811,3482,3482,3482,26
1,3,64,0,28142,28142,28142,3478,3478,3478,26
2,0,64,0,15091,15132,15174,1788,1795,1803,26
2,1,64,0,15172,15173,15174,1785,1792,1799,27
2,2,64,0,15025,15065,15105,1796,1800,1804,27
2,3,64,0,15355,15378,15401,1794,1814,1834,28
4,0,64,0,7887,7902,7934,906,928,941,27
4,1,64,0,7881,7912,7933,904,925,940,27
4,2,64,0,7869,7881,7894,902,924,937,27
4,3,64,0,7855,7881,7897,899,923,935,27
8,0,64,0,4715,4933,5039,465,473,484,29
8,1,64,0,4807,4974,5062,474,606,1441,29
8,2,64,0,4848,5006,5112,462,478,499,29
8,3,64,0,4738,4805,4837,478,483,492,29
16,0,64,0,3685,3795,3986,242,501,1155,30
16,1,64,0,3749,3822,3886,238,249,270,30
16,2,64,0,3723,3737,3767,236,251,273,30
16,3,64,0,3726,3810,3892,239,288,968,30
24,0,64,0,3220,3325,3419,155,170,195,30
24,1,64,0,3267,3308,3391,157,239,886,31
24,2,64,0,3313,3370,3435,155,210,708,30
24,3,64,0,3158,3292,3547,156,222,1512,30
32,0,64,0,3107,3160,3202,117,128,260,30
32,1,64,0,2894,3072,3243,120,193,537,30
32,2,64,0,2927,3172,3353,117,227,1176,30
32,3,64,0,2947,3013,3231,117,181,1740,30
