x,iteration,mem,map,amin,aavg,amax,fmin,favg,fmax,unmap
1,0,64,0,29369,29369,29369,3508,3508,3508,30
1,1,64,0,29007,29007,29007,3529,3529,3529,31
1,2,64,0,29007,29007,29007,3509,3509,3509,30
1,3,64,0,29013,29013,29013,3510,3510,3510,30
2,0,64,0,15549,15572,15596,1754,1800,1847,30
2,1,64,0,15536,15562,15588,1755,1799,1844,30
2,2,64,0,15515,15553,15591,1755,1801,1847,30
2,3,64,0,15629,15653,15678,1754,1800,1846,30
4,0,64,0,8556,8603,8638,877,1119,1755,33
4,1,64,0,8801,8873,8927,877,900,923,33
4,2,64,0,8795,8818,8842,877,900,924,33
4,3,64,0,8574,8651,8693,877,918,935,33
8,0,64,0,4804,4874,4938,440,853,1507,33
8,1,64,0,4887,4964,5035,440,469,501,33
8,2,64,0,4912,4980,5043,463,580,904,34
8,3,64,0,4993,5062,5129,439,476,528,33
16,0,64,0,3649,3724,3801,227,234,246,34
16,1,64,0,3653,3754,3831,222,239,251,33
16,2,64,0,3555,3657,3763,224,235,244,33
16,3,64,0,3591,3680,3772,221,237,251,33
24,0,64,0,3302,3402,3540,148,157,167,33
24,1,64,0,3147,3209,3444,149,204,797,33
24,2,64,0,3173,3199,3223,146,158,169,33
24,3,64,0,3150,3210,3447,154,181,648,33
32,0,64,0,2845,2920,3111,110,184,1449,33
32,1,64,0,2879,3092,3393,111,132,471,33
32,2,64,0,2895,2957,3211,114,190,2047,33
32,3,64,0,2977,3027,3151,111,187,1914,33
